the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.090       0.08        0.18           0.250       0.078       0.598     
2          14              32                1000      0.092       0.15        0.35           0.136       0.079       0.858     
4          28              64                1000      0.084       0.33        0.76           0.143       0.080       0.574     
8          56              128               1000      0.087       0.64        1.46           0.119       0.082       0.748     
16         112             256               1000      0.087       1.28        2.93           0.247       0.086       0.514     
32         224             512               1000      0.098       2.29        5.24           0.165       0.096       0.599     
64         448             1024              1000      0.114       3.93        8.99           0.624       0.111       0.535     
128        896             2048              1000      0.147       6.08        13.89          0.362       0.146       1.038     
256        1792            4096              1000      0.218       8.21        18.76          0.536       0.215       0.970     
512        3584            8192              1000      0.370       9.68        22.12          15.630      0.353       2.160     
1024       7168            16384             1000      0.632       11.34       25.91          0.939       0.629       0.960     
2048       14336           32768             1000      1.187       12.07       27.60          1.350       1.184       2.676     
4096       28672           65536             1000      2.308       12.42       28.39          3.096       2.296       3.742     
8192       57344           131072            1000      4.789       11.97       27.37          31.431      4.615       8.329     
16384      114688          262144            1000      9.608       11.94       27.28          20.624      9.451       11.971    
32768      229376          524288            1000      18.963      12.10       27.65          53.611      18.764      21.090    
65536      458752          1048576           1000      38.057      12.05       27.55          422.515     37.400      41.855    
131072     917504          2097152           1000      75.195      12.20       27.89          231.321     74.647      86.130    
262144     1835008         4194304           1000      151.725     12.09       27.64          248.682     149.366     182.861   
524288     3670016         8388608           1000      376.118     9.76        22.30          506.568     371.577     389.453   
1048576    7340032         16777216          1000      809.490     9.07        20.73          1073.622    801.878     822.973   

