the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.075       0.01        0.21           0.182       0.074       0.310     
2          2               32                1000      0.078       0.03        0.41           0.141       0.075       0.238     
4          4               64                1000      0.079       0.05        0.81           0.115       0.076       0.422     
8          8               128               1000      0.080       0.10        1.60           0.104       0.076       0.127     
16         16              256               1000      0.076       0.21        3.37           0.356       0.075       0.583     
32         32              512               1000      0.080       0.40        6.42           0.218       0.077       0.424     
64         64              1024              1000      0.087       0.74        11.83          0.143       0.084       0.692     
128        128             2048              1000      0.102       1.25        20.03          0.347       0.099       0.438     
256        256             4096              1000      0.134       1.91        30.57          0.384       0.128       0.918     
512        512             8192              1000      0.195       2.63        42.08          0.390       0.187       0.868     
1024       1024            16384             1000      0.353       2.90        46.48          0.607       0.331       1.017     
2048       2048            32768             1000      0.677       3.02        48.38          1.187       0.638       1.219     
4096       4096            65536             1000      1.140       3.59        57.49          6.156       1.082       3.110     
8192       8192            131072            1000      2.214       3.70        59.21          6.086       2.103       3.924     
16384      16384           262144            1000      6.156       2.66        42.59          9.408       5.434       9.903     
32768      32768           524288            1000      12.030      2.72        43.58          20.170      11.098      16.462    
65536      65536           1048576           1000      23.030      2.85        45.53          44.135      21.537      62.287    
131072     131072          2097152           1000      47.235      2.77        44.40          86.988      43.809      70.327    
262144     262144          4194304           1000      139.654     1.88        30.03          205.565     133.357     152.220   
524288     524288          8388608           1000      305.941     1.71        27.42          331.215     302.197     307.128   
1048576    1048576         16777216          1000      601.019     1.74        27.91          620.363     595.195     599.423   

