the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.077       0.01        0.10           0.344       0.076       0.433     
2          2               16                1000      0.078       0.03        0.21           0.230       0.077       0.111     
4          4               32                1000      0.079       0.05        0.41           0.313       0.077       0.112     
8          8               64                1000      0.077       0.10        0.83           0.320       0.076       0.111     
16         16              128               1000      0.078       0.20        1.63           0.311       0.077       0.192     
32         32              256               1000      0.084       0.38        3.06           0.311       0.082       0.148     
64         64              512               1000      0.082       0.78        6.26           0.306       0.078       0.427     
128        128             1024              1000      0.088       1.45        11.59          0.359       0.086       0.119     
256        256             2048              1000      0.108       2.37        18.99          0.438       0.101       0.146     
512        512             4096              1000      0.134       3.83        30.67          0.379       0.130       0.382     
1024       1024            8192              1000      0.210       4.88        39.04          0.733       0.191       0.428     
2048       2048            16384             1000      0.316       6.48        51.82          1.084       0.308       0.936     
4096       4096            32768             1000      0.738       5.55        44.38          1.121       0.617       1.987     
8192       8192            65536             1000      1.386       5.91        47.30          2.628       1.083       3.742     
16384      16384           131072            1000      3.265       5.02        40.14          7.462       2.487       8.277     
32768      32768           262144            1000      11.807      2.78        22.20          16.150      10.958      16.766    
65536      65536           524288            1000      32.511      2.02        16.13          66.594      30.990      38.124    
131072     131072          1048576           1000      72.001      1.82        14.56          122.812     69.162      77.698    
262144     262144          2097152           1000      155.857     1.68        13.46          245.450     151.571     162.579   
524288     524288          4194304           1000      327.206     1.60        12.82          451.265     317.206     342.288   
1048576    1048576         8388608           1000      731.670     1.43        11.47          954.451     695.965     717.442   

