the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.091       0.02        0.09           0.309       0.085       0.345     
2          4               16                1000      0.091       0.04        0.18           0.323       0.084       1.282     
4          8               32                1000      0.090       0.09        0.35           0.321       0.083       0.393     
8          16              64                1000      0.089       0.18        0.72           0.337       0.084       0.820     
16         32              128               1000      0.092       0.35        1.39           0.317       0.085       0.523     
32         64              256               1000      0.093       0.69        2.76           0.322       0.089       0.914     
64         128             512               1000      0.091       1.40        5.60           0.318       0.088       0.499     
128        256             1024              1000      0.099       2.59        10.37          0.558       0.094       0.902     
256        512             2048              1000      0.114       4.49        17.95          0.581       0.110       0.730     
512        1024            4096              1000      0.153       6.71        26.84          0.383       0.145       1.665     
1024       2048            8192              1000      0.260       7.88        31.52          0.485       0.241       1.470     
2048       4096            16384             1000      0.398       10.30       41.20          0.676       0.379       3.055     
4096       8192            32768             1000      0.842       9.73        38.92          1.955       0.810       4.217     
8192       16384           65536             1000      2.255       7.27        29.07          12.630      1.840       6.714     
16384      32768           131072            1000      5.445       6.02        24.07          9.837       4.201       11.278    
32768      65536           262144            1000      22.763      2.88        11.52          2197.961    17.623      25.388    
65536      131072          524288            1000      45.283      2.89        11.58          513.060     41.319      49.333    
131072     262144          1048576           1000      93.740      2.80        11.19          258.012     89.531      99.368    
262144     524288          2097152           1000      182.612     2.87        11.48          297.364     180.119     190.715   
524288     1048576         4194304           1000      368.629     2.84        11.38          467.905     366.135     390.084   
1048576    2097152         8388608           1000      752.829     2.79        11.14          833.074     744.263     850.105   

