the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.075       0.01        0.11           0.307       0.074       0.215     
2          2               16                1000      0.075       0.03        0.21           0.085       0.074       0.123     
4          4               32                1000      0.075       0.05        0.42           0.246       0.075       0.134     
8          8               64                1000      0.077       0.10        0.83           0.102       0.076       0.125     
16         16              128               1000      0.075       0.21        1.70           0.128       0.074       0.131     
32         32              256               1000      0.076       0.42        3.35           0.091       0.076       0.158     
64         64              512               1000      0.084       0.77        6.13           0.102       0.082       0.134     
128        128             1024              1000      0.101       1.27        10.14          0.112       0.098       0.171     
256        256             2048              1000      0.130       1.97        15.74          0.181       0.129       0.177     
512        512             4096              1000      0.188       2.72        21.76          0.337       0.187       0.294     
1024       1024            8192              1000      0.305       3.36        26.84          0.507       0.303       0.377     
2048       2048            16384             1000      0.541       3.79        30.29          0.705       0.538       0.727     
4096       4096            32768             1000      1.005       4.08        32.61          1.032       1.002       1.266     
8192       8192            65536             1000      1.939       4.22        33.80          2.350       1.935       2.210     
16384      16384           131072            1000      3.810       4.30        34.40          4.004       3.801       4.119     
32768      32768           262144            1000      7.714       4.25        33.98          167.321     7.522       8.255     
65536      65536           524288            1000      15.140      4.33        34.63          18.024      14.986      16.672    
131072     131072          1048576           1000      30.111      4.35        34.82          39.880      29.911      33.089    
262144     262144          2097152           1000      59.939      4.37        34.99          83.146      59.686      70.147    
524288     524288          4194304           1000      128.714     4.07        32.59          208.878     123.860     148.043   
1048576    1048576         8388608           1000      311.230     3.37        26.95          355.664     304.712     315.742   

