the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.075       0.08        0.32           0.294       0.074       0.224     
2          12              48                1000      0.076       0.16        0.63           0.117       0.075       0.540     
4          24              96                1000      0.080       0.30        1.19           0.112       0.078       0.135     
8          48              192               1000      0.078       0.62        2.47           0.305       0.077       0.269     
16         96              384               1000      0.083       1.15        4.60           0.132       0.082       0.181     
32         192             768               1000      0.093       2.07        8.27           0.128       0.091       0.420     
64         384             1536              1000      0.113       3.41        13.65          0.139       0.111       0.188     
128        768             3072              1000      0.152       5.04        20.16          0.406       0.148       0.332     
256        1536            6144              1000      0.227       6.77        27.07          0.398       0.223       0.278     
512        3072            12288             1000      0.380       8.08        32.30          0.568       0.375       0.694     
1024       6144            24576             1000      0.686       8.96        35.85          0.725       0.661       0.853     
2048       12288           49152             1000      1.295       9.49        37.96          1.432       1.270       1.387     
4096       24576           98304             1000      2.500       9.83        39.32          2.765       2.465       2.791     
8192       49152           196608            1000      4.927       9.98        39.90          5.252       4.753       5.099     
16384      98304           393216            1000      9.779       10.05       40.21          20.371      9.398       10.143    
32768      196608          786432            1000      19.619      10.02       40.09          183.342     18.740      19.657    
65536      393216          1572864           1000      39.061      10.07       40.27          189.222     38.771      39.325    
131072     786432          3145728           1000      77.490      10.15       40.60          104.139     74.607      78.349    
262144     1572864         6291456           1000      155.085     10.14       40.57          176.521     149.090     157.161   
524288     3145728         12582912          1000      312.158     10.08       40.31          328.668     307.254     313.152   
1048576    6291456         25165824          1000      627.505     10.03       40.10          648.633     621.195     626.834   

