the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.072       0.01        0.06           0.080       0.072       0.345     
2          2               8                 1000      0.075       0.03        0.11           0.106       0.073       0.129     
4          4               16                1000      0.075       0.05        0.21           0.084       0.074       0.135     
8          8               32                1000      0.076       0.11        0.42           0.105       0.075       0.146     
16         16              64                1000      0.077       0.21        0.83           0.086       0.076       0.142     
32         32              128               1000      0.086       0.37        1.48           6.203       0.078       0.217     
64         64              256               1000      0.086       0.74        2.96           0.118       0.085       0.361     
128        128             512               1000      0.101       1.27        5.07           0.178       0.100       0.153     
256        256             1024              1000      0.130       1.97        7.87           0.324       0.129       0.348     
512        512             2048              1000      0.188       2.72        10.87          0.197       0.187       0.240     
1024       1024            4096              1000      0.305       3.36        13.43          0.317       0.303       0.443     
2048       2048            8192              1000      0.538       3.81        15.23          0.549       0.536       0.754     
4096       4096            16384             1000      1.004       4.08        16.31          1.024       1.002       1.051     
8192       8192            32768             1000      1.937       4.23        16.92          1.957       1.936       2.280     
16384      16384           65536             1000      3.811       4.30        17.20          12.860      3.798       3.885     
32768      32768           131072            1000      7.551       4.34        17.36          15.090      7.521       8.076     
65536      65536           262144            1000      15.050      4.35        17.42          26.379      14.970      16.061    
131072     131072          524288            1000      30.603      4.28        17.13          641.458     29.882      31.401    
262144     262144          1048576           1000      60.539      4.33        17.32          412.468     59.655      63.687    
524288     524288          2097152           1000      119.609     4.38        17.53          164.478     119.253     129.974   
1048576    1048576         4194304           1000      241.821     4.34        17.34          329.135     238.988     269.163   

