the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.079       0.08        0.30           0.301       0.076       0.177     
2          12              48                1000      0.085       0.14        0.57           0.115       0.079       0.158     
4          24              96                1000      0.076       0.31        1.26           0.123       0.075       0.257     
8          48              192               1000      0.080       0.60        2.40           0.306       0.078       0.418     
16         96              384               1000      0.086       1.11        4.46           0.168       0.080       0.299     
32         192             768               1000      0.094       2.05        8.19           0.206       0.093       0.192     
64         384             1536              1000      0.109       3.54        14.15          0.322       0.107       0.215     
128        768             3072              1000      0.146       5.25        21.01          0.390       0.143       0.231     
256        1536            6144              1000      0.205       7.50        30.01          0.315       0.203       0.289     
512        3072            12288             1000      0.321       9.57        38.26          0.379       0.319       0.538     
1024       6144            24576             1000      0.553       11.10       44.42          1.077       0.552       0.630     
2048       12288           49152             1000      1.023       12.01       48.04          1.125       1.017       1.103     
4096       24576           98304             1000      4.105       5.99        23.95          2156.638    1.948       2.035     
8192       49152           196608            1000      3.812       12.89       51.58          4.145       3.810       3.903     
16384      98304           393216            1000      7.561       13.00       52.01          8.561       7.540       7.788     
32768      196608          786432            1000      15.058      13.06       52.23          15.682      15.000      15.217    
65536      393216          1572864           1000      29.960      13.12       52.50          35.740      29.883      30.412    
131072     786432          3145728           1000      59.909      13.13       52.51          144.539     59.681      60.546    
262144     1572864         6291456           1000      119.614     13.15       52.60          207.679     119.269     120.675   
524288     3145728         12582912          1000      358.875     8.77        35.06          393.198     357.797     359.517   
1048576    6291456         25165824          1000      1125.466    5.59        22.36          1142.473    1123.299    1124.842  

