the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.074       0.03        0.11           0.129       0.074       0.222     
2          4               16                1000      0.076       0.05        0.21           0.178       0.074       0.318     
4          8               32                1000      0.076       0.10        0.42           0.101       0.076       0.183     
8          16              64                1000      0.080       0.20        0.80           0.128       0.079       0.243     
16         32              128               1000      0.089       0.36        1.43           0.131       0.088       0.273     
32         64              256               1000      0.101       0.63        2.53           0.317       0.098       0.163     
64         128             512               1000      0.125       1.02        4.08           0.377       0.123       0.185     
128        256             1024              1000      0.175       1.46        5.84           0.363       0.174       0.285     
256        512             2048              1000      0.135       3.79        15.17          0.149       0.134       0.188     
512        1024            4096              1000      0.190       5.39        21.58          0.204       0.186       0.389     
1024       2048            8192              1000      0.296       6.92        27.69          0.311       0.290       0.428     
2048       4096            16384             1000      0.508       8.07        32.28          0.531       0.502       0.597     
4096       8192            32768             1000      0.933       8.78        35.10          1.128       0.924       1.130     
8192       16384           65536             1000      1.792       9.15        36.58          1.821       1.781       2.132     
16384      32768           131072            1000      3.490       9.39        37.56          3.806       3.477       3.875     
32768      65536           262144            1000      6.905       9.49        37.96          7.110       6.879       7.302     
65536      131072          524288            1000      13.737      9.54        38.16          18.511      13.687      14.057    
131072     262144          1048576           1000      27.418      9.56        38.24          62.588      27.310      28.135    
262144     524288          2097152           1000      54.778      9.57        38.28          95.670      54.550      55.212    
524288     1048576         4194304           1000      109.259     9.60        38.39          131.657     109.026     109.913   
1048576    2097152         8388608           1000      218.489     9.60        38.39          228.057     218.003     219.688   

