the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.076       0.01        0.16           0.187       0.076       0.635     
2          2               24                1000      0.076       0.03        0.31           0.126       0.075       0.430     
4          4               48                1000      0.076       0.05        0.63           0.309       0.075       0.703     
8          8               96                1000      0.076       0.10        1.26           0.355       0.075       0.430     
16         16              192               1000      0.076       0.21        2.54           0.295       0.075       0.441     
32         32              384               1000      0.077       0.42        5.01           0.246       0.075       0.543     
64         64              768               1000      0.090       0.71        8.53           0.299       0.087       0.512     
128        128             1536              1000      0.100       1.28        15.33          0.408       0.097       0.652     
256        256             3072              1000      0.119       2.15        25.75          0.384       0.115       0.688     
512        512             6144              1000      0.158       3.23        38.79          0.368       0.153       0.901     
1024       1024            12288             1000      0.287       3.57        42.83          0.693       0.266       1.828     
2048       2048            24576             1000      0.494       4.14        49.73          1.182       0.468       2.475     
4096       4096            49152             1000      1.053       3.89        46.68          1.841       0.922       3.714     
8192       8192            98304             1000      2.587       3.17        37.99          5.021       2.152       8.960     
16384      16384           196608            1000      5.934       2.76        33.13          14.348      5.027       14.863    
32768      32768           393216            1000      24.611      1.33        15.98          364.629     21.391      72.168    
65536      65536           786432            1000      59.078      1.11        13.31          73.315      55.493      68.436    
131072     131072          1572864           1000      133.365     0.98        11.79          205.830     128.689     151.863   
262144     262144          3145728           1000      266.042     0.99        11.82          324.676     254.166     310.869   
524288     524288          6291456           1000      572.651     0.92        10.99          609.742     543.909     729.552   
1048576    1048576         12582912          1000      764.370     1.37        16.46          793.436     756.674     899.648   

