the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          3               4                 1000      0.076       0.04        0.05           0.103       0.075       0.123     
2          6               8                 1000      0.076       0.08        0.10           0.102       0.075       0.130     
4          12              16                1000      0.078       0.15        0.21           0.110       0.076       0.148     
8          24              32                1000      0.079       0.31        0.41           0.098       0.076       0.153     
16         48              64                1000      0.079       0.61        0.81           0.108       0.077       0.319     
32         96              128               1000      0.079       1.22        1.63           0.110       0.077       0.127     
64         192             256               1000      0.079       2.42        3.22           0.097       0.078       0.127     
128        384             512               1000      0.084       4.56        6.08           0.102       0.083       0.136     
256        768             1024              1000      0.093       8.24        10.99          0.115       0.091       0.172     
512        1536            2048              1000      0.116       13.20       17.60          0.313       0.112       0.178     
1024       3072            4096              1000      0.150       20.44       27.25          0.588       0.143       0.310     
2048       6144            8192              1000      0.230       26.71       35.61          0.266       0.218       0.448     
4096       12288           16384             1000      0.394       31.17       41.56          0.655       0.377       0.600     
8192       24576           32768             1000      0.761       32.28       43.03          1.031       0.742       1.257     
16384      49152           65536             1000      1.537       31.98       42.65          1.899       1.510       2.450     
32768      98304           131072            1000      2.964       33.17       44.22          4.886       2.887       4.576     
65536      196608          262144            1000      6.927       28.38       37.85          11.067      6.593       12.425    
131072     393216          524288            1000      16.677      23.58       31.44          1236.194    14.779      35.962    
262144     786432          1048576           1000      31.229      25.18       33.58          60.155      30.344      46.111    
524288     1572864         2097152           1000      63.187      24.89       33.19          393.766     60.944      98.125    
1048576    3145728         4194304           1000      151.955     20.70       27.60          317.112     125.462     215.657   

