the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.109       0.06        0.22           0.115       0.109       1.452     
4          24              96                1000      0.119       0.20        0.81           0.138       0.118       0.781     
16         96              384               1000      0.129       0.74        2.98           0.142       0.129       0.561     
64         384             1536              1000      0.171       2.24        8.98           0.184       0.171       0.733     
256        1536            6144              1000      0.307       5.01        20.05          0.315       0.306       0.737     
1024       6144            24576             1000      0.831       7.39        29.57          0.839       0.822       1.637     
4096       24576           98304             1000      3.492       7.04        28.15          20.257      3.430       5.612     
16384      98304           393216            1000      35.251      2.79        11.15          46.088      35.006      40.308    
65536      393216          1572864           1000      174.475     2.25        9.01           200.963     173.121     182.690   
262144     1572864         6291456           1000      789.038     1.99        7.97           846.646     784.433     847.774   
1048576    6291456         25165824          1000      3959.218    1.59        6.36           4095.342    3939.680    4001.953  

