the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.079       0.08        0.30           0.083       0.078       0.571     
2          12              48                1000      0.082       0.15        0.59           0.089       0.081       0.294     
4          24              96                1000      0.080       0.30        1.20           0.087       0.080       0.462     
8          48              192               1000      0.090       0.53        2.13           0.090       0.089       0.147     
16         96              384               1000      0.101       0.95        3.80           0.104       0.101       0.286     
32         192             768               1000      0.128       1.51        6.02           0.136       0.125       0.196     
64         384             1536              1000      0.177       2.17        8.68           0.182       0.176       0.426     
128        768             3072              1000      0.276       2.78        11.13          0.286       0.271       0.504     
256        1536            6144              1000      0.477       3.22        12.89          0.485       0.468       0.537     
512        3072            12288             1000      0.873       3.52        14.08          0.881       0.866       0.963     
1024       6144            24576             1000      1.670       3.68        14.71          10.391      1.649       1.861     
2048       12288           49152             1000      3.251       3.78        15.12          3.283       3.221       3.489     
4096       24576           98304             1000      6.489       3.79        15.15          24.697      6.420       6.850     
8192       49152           196608            1000      12.757      3.85        15.41          21.976      12.680      13.129    
16384      98304           393216            1000      25.550      3.85        15.39          33.683      25.421      26.429    
32768      196608          786432            1000      50.792      3.87        15.48          73.997      50.618      51.820    
65536      393216          1572864           1000      102.571     3.83        15.33          111.962     101.813     106.039   
131072     786432          3145728           1000      203.232     3.87        15.48          213.313     202.398     208.494   
262144     1572864         6291456           1000      408.076     3.85        15.42          419.795     405.112     432.629   
524288     3145728         12582912          1000      816.806     3.85        15.41          828.802     809.711     840.202   
1048576    6291456         25165824          1000      1688.211    3.73        14.91          1723.990    1619.643    2041.290  

