the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.075       0.09        0.21           0.098       0.075       0.692     
2          14              32                1000      0.077       0.18        0.42           0.077       0.077       0.263     
4          28              64                1000      0.083       0.34        0.77           0.098       0.083       0.667     
8          56              128               1000      0.088       0.64        1.45           0.088       0.087       0.508     
16         112             256               1000      0.086       1.30        2.98           0.086       0.086       0.658     
32         224             512               1000      0.094       2.39        5.47           0.104       0.093       0.480     
64         448             1024              1000      0.110       4.07        9.31           0.121       0.110       0.313     
128        896             2048              1000      0.143       6.27        14.32          0.157       0.142       0.275     
256        1792            4096              1000      0.208       8.61        19.69          0.221       0.208       0.446     
512        3584            8192              1000      0.339       10.57       24.16          0.354       0.339       0.808     
1024       7168            16384             1000      0.601       11.93       27.26          0.616       0.601       0.763     
2048       14336           32768             1000      1.125       12.74       29.13          1.131       1.124       1.557     
4096       28672           65536             1000      2.178       13.16       30.09          2.201       2.173       2.741     
8192       57344           131072            1000      4.310       13.31       30.41          30.011      4.277       5.445     
16384      114688          262144            1000      8.492       13.51       30.87          17.257      8.472       9.874     
32768      229376          524288            1000      16.897      13.58       31.03          26.171      16.859      18.722    
65536      458752          1048576           1000      33.732      13.60       31.09          50.314      33.638      38.617    
131072     917504          2097152           1000      67.339      13.63       31.14          75.353      67.146      80.205    
262144     1835008         4194304           1000      136.653     13.43       30.69          162.566     134.333     174.787   
524288     3670016         8388608           1000      302.411     12.14       27.74          361.965     292.670     397.050   
1048576    7340032         16777216          1000      726.058     10.11       23.11          887.511     700.848     839.513   

