the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.074       0.01        0.22           0.082       0.073       0.140     
2          2               32                1000      0.075       0.03        0.43           0.080       0.074       0.285     
4          4               64                1000      0.076       0.05        0.84           0.090       0.076       0.294     
8          8               128               1000      0.080       0.10        1.60           0.086       0.080       0.129     
16         16              256               1000      0.082       0.20        3.12           0.095       0.081       0.316     
32         32              512               1000      0.092       0.35        5.56           0.101       0.090       0.289     
64         64              1024              1000      0.109       0.59        9.39           0.119       0.109       0.288     
128        128             2048              1000      0.147       0.87        13.89          0.155       0.145       0.350     
256        256             4096              1000      0.223       1.15        18.37          0.232       0.220       0.452     
512        512             8192              1000      0.372       1.38        22.02          0.384       0.369       0.598     
1024       1024            16384             1000      0.674       1.52        24.30          0.707       0.668       0.895     
2048       2048            32768             1000      1.277       1.60        25.66          1.331       1.264       1.492     
4096       4096            65536             1000      2.531       1.62        25.90          12.299      2.470       2.743     
8192       8192            131072            1000      4.960       1.65        26.43          5.174       4.883       5.343     
16384      16384           262144            1000      9.862       1.66        26.58          23.041      9.639       11.012    
32768      32768           524288            1000      19.671      1.67        26.65          37.580      19.333      22.007    
65536      65536           1048576           1000      39.366      1.66        26.64          59.884      38.700      41.803    
131072     131072          2097152           1000      79.187      1.66        26.48          89.997      77.601      83.578    
262144     262144          4194304           1000      156.799     1.67        26.75          166.489     154.396     192.177   
524288     524288          8388608           1000      318.988     1.64        26.30          347.029     315.087     411.585   
1048576    1048576         16777216          1000      789.362     1.33        21.25          819.503     782.979     885.847   

