the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               20                1000      0.074       0.03        0.27           0.090       0.074       0.295     
2          4               40                1000      0.075       0.05        0.53           0.087       0.074       0.285     
4          8               80                1000      0.075       0.11        1.07           0.080       0.075       0.291     
8          16              160               1000      0.076       0.21        2.10           0.094       0.076       0.263     
16         32              320               1000      0.079       0.40        4.05           0.100       0.079       0.304     
32         64              640               1000      0.086       0.74        7.44           0.101       0.086       0.322     
64         128             1280              1000      0.100       1.28        12.79          0.115       0.100       0.507     
128        256             2560              1000      0.128       2.00        20.00          0.149       0.128       0.704     
256        512             5120              1000      0.180       2.84        28.44          0.194       0.180       0.888     
512        1024            10240             1000      0.285       3.59        35.93          0.307       0.282       1.000     
1024       2048            20480             1000      0.488       4.20        41.96          0.508       0.488       1.539     
2048       4096            40960             1000      0.899       4.56        45.58          0.917       0.898       1.905     
4096       8192            81920             1000      1.730       4.74        47.36          1.759       1.725       2.953     
8192       16384           163840            1000      3.419       4.79        47.91          24.740      3.384       4.715     
16384      32768           327680            1000      6.720       4.88        48.76          10.098      6.671       9.859     
32768      65536           655360            1000      16.405      3.99        39.95          41.610      15.243      19.789    
65536      131072          1310720           1000      35.156      3.73        37.28          55.144      33.749      39.881    
131072     262144          2621440           1000      74.716      3.51        35.09          86.726      73.107      78.921    
262144     524288          5242880           1000      164.329     3.19        31.90          184.976     157.763     181.733   
524288     1048576         10485760          1000      362.219     2.89        28.95          382.399     340.738     405.359   
1048576    2097152         20971520          1000      698.690     3.00        30.02          714.122     691.112     749.458   

