the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.079       0.08        0.30           0.087       0.078       0.559     
2          12              48                1000      0.080       0.15        0.60           0.080       0.079       0.138     
4          24              96                1000      0.081       0.30        1.19           0.081       0.081       0.293     
8          48              192               1000      0.085       0.56        2.26           0.085       0.085       0.222     
16         96              384               1000      0.106       0.91        3.62           0.106       0.106       0.329     
32         192             768               1000      0.168       1.14        4.57           0.168       0.168       0.529     
64         384             1536              1000      0.285       1.35        5.39           12.731      0.271       1.871     
128        768             3072              1000      0.457       1.68        6.72           0.468       0.457       2.276     
256        1536            6144              1000      0.875       1.76        7.02           0.896       0.875       2.975     
512        3072            12288             1000      1.821       1.69        6.75           1.834       1.818       3.757     
1024       6144            24576             1000      4.107       1.50        5.98           4.143       4.085       8.046     
2048       12288           49152             1000      9.300       1.32        5.28           42.722      9.191       12.814    
4096       24576           98304             1000      19.576      1.26        5.02           57.129      19.470      24.132    
8192       49152           196608            1000      43.903      1.12        4.48           64.365      43.751      48.614    
16384      98304           393216            1000      116.754     0.84        3.37           131.518     115.991     125.296   
32768      196608          786432            1000      271.791     0.72        2.89           288.340     270.601     294.794   
65536      393216          1572864           1000      628.625     0.63        2.50           645.067     621.208     626.558   
131072     786432          3145728           1000      1274.943    0.62        2.47           1343.078    1260.328    1436.820  
262144     1572864         6291456           1000      3651.773    0.43        1.72           10781.897   3341.679    3536.672  
524288     3145728         12582912          1000      8564.892    0.37        1.47           8794.450    8438.154    11054.608 
1048576    6291456         25165824          1000      21226.257   0.30        1.19           21456.956   21001.559   25541.015 

