the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.075       0.08        0.32           0.088       0.075       0.465     
2          12              48                1000      0.075       0.16        0.64           0.083       0.075       0.294     
4          24              96                1000      0.075       0.32        1.28           0.082       0.075       0.492     
8          48              192               1000      0.076       0.63        2.53           0.090       0.076       0.485     
16         96              384               1000      0.078       1.23        4.92           0.083       0.077       0.446     
32         192             768               1000      0.081       2.37        9.48           0.082       0.081       0.281     
64         384             1536              1000      0.081       4.73        18.93          0.092       0.081       0.136     
128        768             3072              1000      0.092       8.35        33.38          0.102       0.092       0.178     
256        1536            6144              1000      0.114       13.51       54.03          0.126       0.113       0.169     
512        3072            12288             1000      0.157       19.56       78.24          0.169       0.157       0.250     
1024       6144            24576             1000      0.245       25.08       100.30         0.257       0.244       0.513     
2048       12288           49152             1000      0.419       29.32       117.30         0.431       0.419       0.536     
4096       24576           98304             1000      0.768       32.00       127.99         0.788       0.768       1.254     
8192       49152           196608            1000      1.473       33.36       133.46         1.493       1.467       2.384     
16384      98304           393216            1000      2.935       33.49       133.96         3.037       2.900       5.788     
32768      196608          786432            1000      5.812       33.83       135.32         15.090      5.738       10.707    
65536      393216          1572864           1000      12.033      32.68       130.72         25.083      11.557      20.143    
131072     786432          3145728           1000      37.047      21.23       84.91          44.936      35.906      39.778    
262144     1572864         6291456           1000      98.492      15.97       63.88          132.060     96.193      84.675    
524288     3145728         12582912          1000      175.921     17.88       71.53          228.472     165.864     200.326   
1048576    6291456         25165824          1000      362.400     17.36       69.44          479.478     345.511     423.389   

