the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.080       0.02        0.10           0.100       0.080       0.893     
2          4               16                1000      0.080       0.05        0.20           0.098       0.080       0.705     
4          8               32                1000      0.080       0.10        0.40           0.095       0.079       0.520     
8          16              64                1000      0.080       0.20        0.80           0.100       0.079       0.472     
16         32              128               1000      0.080       0.40        1.60           0.109       0.080       0.517     
32         64              256               1000      0.083       0.77        3.08           0.091       0.082       0.451     
64         128             512               1000      0.087       1.47        5.88           0.098       0.085       0.303     
128        256             1024              1000      0.096       2.67        10.67          0.104       0.094       0.387     
256        512             2048              1000      0.113       4.53        18.13          0.119       0.111       0.379     
512        1024            4096              1000      0.148       6.92        27.67          0.160       0.146       0.350     
1024       2048            8192              1000      0.218       9.40        37.61          0.230       0.216       0.558     
2048       4096            16384             1000      0.360       11.38       45.51          0.366       0.354       0.780     
4096       8192            32768             1000      0.647       12.65       50.61          0.657       0.638       1.414     
8192       16384           65536             1000      1.288       12.72       50.89          1.342       1.246       2.432     
16384      32768           131072            1000      3.523       9.30        37.21          3.682       3.440       4.916     
32768      65536           262144            1000      7.250       9.04        36.16          17.086      7.088       11.984    
65536      131072          524288            1000      15.280      8.58        34.31          27.510      14.330      20.620    
131072     262144          1048576           1000      36.130      7.26        29.02          67.227      34.081      42.532    
262144     524288          2097152           1000      71.393      7.34        29.37          89.739      68.998      80.738    
524288     1048576         4194304           1000      133.528     7.85        31.41          194.523     125.958     179.572   
1048576    2097152         8388608           1000      300.925     6.97        27.88          470.066     282.320     399.254   

