the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.076       0.08        0.32           0.080       0.076       0.503     
2          12              48                1000      0.078       0.15        0.62           0.086       0.077       0.671     
4          24              96                1000      0.084       0.29        1.15           0.085       0.083       0.430     
8          48              192               1000      0.089       0.54        2.16           0.089       0.089       0.475     
16         96              384               1000      0.101       0.95        3.80           0.111       0.101       0.770     
32         192             768               1000      0.125       1.54        6.14           0.143       0.125       0.677     
64         384             1536              1000      0.173       2.22        8.88           0.181       0.173       0.381     
128        768             3072              1000      0.266       2.89        11.55          0.275       0.266       0.668     
256        1536            6144              1000      0.452       3.40        13.59          0.468       0.452       0.668     
512        3072            12288             1000      0.833       3.69        14.75          0.841       0.833       1.226     
1024       6144            24576             1000      1.602       3.84        15.34          1.607       1.586       2.107     
2048       12288           49152             1000      3.123       3.93        15.74          3.133       3.095       3.329     
4096       24576           98304             1000      6.224       3.95        15.79          20.511      6.185       7.079     
8192       49152           196608            1000      12.360      3.98        15.91          21.391      12.265      13.011    
16384      98304           393216            1000      24.749      3.97        15.89          44.585      24.596      26.135    
32768      196608          786432            1000      49.034      4.01        16.04          59.578      48.684      50.617    
65536      393216          1572864           1000      98.458      3.99        15.97          108.553     97.747      99.993    
131072     786432          3145728           1000      194.855     4.04        16.14          206.246     193.387     211.029   
262144     1572864         6291456           1000      396.053     3.97        15.89          438.888     392.878     455.719   
524288     3145728         12582912          1000      860.774     3.65        14.62          896.628     856.603     955.596   
1048576    6291456         25165824          1000      1845.400    3.41        13.64          2026.548    1836.364    1873.817  

