the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.075       0.01        0.11           0.096       0.075       0.286     
2          2               16                1000      0.075       0.03        0.21           0.081       0.074       0.513     
4          4               32                1000      0.075       0.05        0.43           0.081       0.075       0.312     
8          8               64                1000      0.075       0.11        0.85           0.081       0.074       0.313     
16         16              128               1000      0.075       0.21        1.71           0.082       0.074       0.321     
32         32              256               1000      0.077       0.42        3.32           0.085       0.077       0.523     
64         64              512               1000      0.080       0.80        6.40           0.098       0.080       0.537     
128        128             1024              1000      0.088       1.45        11.64          0.097       0.087       0.176     
256        256             2048              1000      0.116       2.21        17.70          12.769      0.103       0.213     
512        512             4096              1000      0.133       3.85        30.80          0.140       0.132       0.293     
1024       1024            8192              1000      0.190       5.39        43.10          0.203       0.190       0.896     
2048       2048            16384             1000      0.307       6.67        53.35          0.371       0.306       0.888     
4096       4096            32768             1000      0.539       7.60        60.79          0.566       0.539       1.249     
8192       8192            65536             1000      1.016       8.06        64.49          1.027       1.014       1.892     
16384      16384           131072            1000      2.376       6.90        55.17          29.433      2.167       3.603     
32768      32768           262144            1000      4.030       8.13        65.05          4.959       4.007       7.890     
65536      65536           524288            1000      8.284       7.91        63.29          26.176      7.763       15.744    
131072     131072          1048576           1000      21.971      5.97        47.73          44.677      20.237      28.892    
262144     262144          2097152           1000      55.085      4.76        38.07          81.411      53.569      75.766    
524288     524288          4194304           1000      124.454     4.21        33.70          137.322     117.345     133.632   
1048576    1048576         8388608           1000      283.179     3.70        29.62          289.988     260.769     297.536   

