the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.074       0.01        0.11           0.100       0.074       0.858     
2          2               16                1000      0.075       0.03        0.21           0.076       0.075       0.250     
4          4               32                1000      0.075       0.05        0.43           0.095       0.075       0.366     
8          8               64                1000      0.075       0.11        0.85           0.089       0.075       0.308     
16         16              128               1000      0.075       0.21        1.71           0.075       0.075       0.184     
32         32              256               1000      0.076       0.42        3.37           0.076       0.076       0.288     
64         64              512               1000      0.079       0.81        6.48           0.087       0.079       0.203     
128        128             1024              1000      0.085       1.50        12.01          0.099       0.085       0.209     
256        256             2048              1000      0.100       2.55        20.42          0.116       0.099       0.293     
512        512             4096              1000      0.131       3.91        31.28          0.140       0.128       0.346     
1024       1024            8192              1000      0.189       5.42        43.39          0.196       0.186       0.279     
2048       2048            16384             1000      0.306       6.70        53.59          0.312       0.303       0.492     
4096       4096            32768             1000      0.539       7.60        60.79          0.549       0.536       0.735     
8192       8192            65536             1000      1.006       8.14        65.12          1.036       1.002       2.001     
16384      16384           131072            1000      2.115       7.75        61.98          2.188       2.027       2.879     
32768      32768           262144            1000      3.944       8.31        66.47          4.534       3.896       6.234     
65536      65536           524288            1000      8.632       7.59        60.74          19.382      8.202       13.945    
131072     131072          1048576           1000      19.424      6.75        53.98          27.235      18.803      27.530    
262144     262144          2097152           1000      41.556      6.31        50.47          54.581      39.668      59.827    
524288     524288          4194304           1000      90.522      5.79        46.33          138.975     83.633      138.174   
1048576    1048576         8388608           1000      218.229     4.80        38.44          335.393     183.288     311.749   

