the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.075       0.01        0.11           0.097       0.075       0.505     
2          2               16                1000      0.077       0.03        0.21           0.086       0.077       0.206     
4          4               32                1000      0.078       0.05        0.41           0.090       0.078       0.430     
8          8               64                1000      0.080       0.10        0.80           0.087       0.080       0.332     
16         16              128               1000      0.085       0.19        1.51           0.085       0.085       0.314     
32         32              256               1000      0.092       0.35        2.78           0.099       0.091       0.401     
64         64              512               1000      0.107       0.60        4.78           0.114       0.106       0.338     
128        128             1024              1000      0.139       0.92        7.38           0.155       0.138       0.394     
256        256             2048              1000      0.205       1.25        9.99           0.215       0.205       0.335     
512        512             4096              1000      0.335       1.53        12.22          0.345       0.335       0.547     
1024       1024            8192              1000      0.597       1.72        13.72          0.606       0.596       0.824     
2048       2048            16384             1000      1.121       1.83        14.62          1.131       1.120       1.416     
4096       4096            32768             1000      2.181       1.88        15.02          2.189       2.178       2.709     
8192       8192            65536             1000      4.365       1.88        15.01          11.144      4.328       4.779     
16384      16384           131072            1000      8.636       1.90        15.18          16.157      8.594       9.252     
32768      32768           262144            1000      17.238      1.90        15.21          24.436      17.147      19.339    
65536      65536           524288            1000      34.456      1.90        15.22          44.494      34.254      37.901    
131072     131072          1048576           1000      70.472      1.86        14.88          81.430      68.914      88.598    
262144     262144          2097152           1000      169.069     1.55        12.40          212.957     164.501     182.799   
524288     524288          4194304           1000      344.726     1.52        12.17          466.894     332.031     397.046   
1048576    1048576         8388608           1000      742.587     1.41        11.30          1024.177    692.433     1016.529  

