the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.072       0.01        0.11           0.077       0.071       0.226     
2          2               16                1000      0.075       0.03        0.21           0.098       0.075       0.334     
4          4               32                1000      0.075       0.05        0.43           0.082       0.075       0.134     
8          8               64                1000      0.075       0.11        0.85           0.082       0.075       0.135     
16         16              128               1000      0.076       0.21        1.68           0.082       0.076       0.130     
32         32              256               1000      0.078       0.41        3.28           0.091       0.078       0.149     
64         64              512               1000      0.082       0.78        6.24           0.100       0.082       0.163     
128        128             1024              1000      0.090       1.42        11.37          0.105       0.090       0.187     
256        256             2048              1000      0.105       2.44        19.50          0.117       0.104       0.174     
512        512             4096              1000      0.134       3.83        30.64          0.147       0.133       0.225     
1024       1024            8192              1000      0.195       5.25        42.01          0.201       0.193       0.358     
2048       2048            16384             1000      0.308       6.65        53.19          0.318       0.308       0.584     
4096       4096            32768             1000      0.541       7.57        60.56          0.580       0.541       1.108     
8192       8192            65536             1000      1.025       7.99        63.91          8.008       1.013       1.786     
16384      16384           131072            1000      2.383       6.88        55.00          2.458       2.177       3.118     
32768      32768           262144            1000      4.028       8.13        65.08          4.918       4.004       7.130     
65536      65536           524288            1000      8.065       8.13        65.00          15.525      7.756       16.598    
131072     131072          1048576           1000      26.796      4.89        39.13          54.006      25.374      32.003    
262144     262144          2097152           1000      52.253      5.02        40.13          74.483      49.697      58.421    
524288     524288          4194304           1000      128.518     4.08        32.64          148.014     115.351     137.754   
1048576    1048576         8388608           1000      278.748     3.76        30.09          287.891     262.564     292.718   

