the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.080       0.01        0.05           0.100       0.080       0.525     
2          2               8                 1000      0.080       0.02        0.10           0.089       0.080       0.487     
4          4               16                1000      0.081       0.05        0.20           0.093       0.081       0.334     
8          8               32                1000      0.081       0.10        0.39           0.098       0.081       0.555     
16         16              64                1000      0.082       0.20        0.78           0.082       0.082       0.513     
32         32              128               1000      0.084       0.38        1.53           0.090       0.083       0.526     
64         64              256               1000      0.085       0.75        3.01           0.097       0.085       0.510     
128        128             512               1000      0.090       1.42        5.69           0.090       0.089       0.334     
256        256             1024              1000      0.098       2.61        10.45          0.110       0.098       0.510     
512        512             2048              1000      0.118       4.34        17.35          0.131       0.117       0.470     
1024       1024            4096              1000      0.155       6.60        26.42          0.174       0.154       0.425     
2048       2048            8192              1000      0.230       8.90        35.61          0.243       0.230       0.625     
4096       4096            16384             1000      0.381       10.75       43.00          0.401       0.380       0.649     
8192       8192            32768             1000      0.683       11.99       47.96          0.698       0.682       1.582     
16384      16384           65536             1000      1.327       12.35       49.39          21.458      1.294       2.798     
32768      32768           131072            1000      3.426       9.56        38.26          3.633       3.362       6.992     
65536      65536           262144            1000      8.304       7.89        31.57          18.620      6.423       11.769    
131072     131072          524288            1000      19.650      6.67        26.68          37.870      18.250      24.119    
262144     262144          1048576           1000      39.887      6.57        26.29          80.240      38.573      46.560    
524288     524288          2097152           1000      79.648      6.58        26.33          97.797      77.612      100.655   
1048576    1048576         4194304           1000      163.448     6.42        25.66          221.272     156.495     216.789   

