the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               4                 1000      0.073       0.03        0.05           0.086       0.073       0.244     
2          4               8                 1000      0.073       0.05        0.11           0.079       0.073       0.130     
4          8               16                1000      0.075       0.11        0.21           0.076       0.075       0.134     
8          16              32                1000      0.076       0.21        0.42           0.076       0.076       0.292     
16         32              64                1000      0.094       0.34        0.68           17.776      0.076       0.265     
32         64              128               1000      0.078       0.82        1.64           0.096       0.078       0.315     
64         128             256               1000      0.081       1.58        3.16           0.081       0.081       0.289     
128        256             512               1000      0.088       2.91        5.82           0.092       0.088       0.139     
256        512             1024              1000      0.103       4.97        9.94           0.105       0.102       0.317     
512        1024            2048              1000      0.132       7.76        15.51          0.134       0.132       0.351     
1024       2048            4096              1000      0.190       10.78       21.56          0.193       0.190       0.265     
2048       4096            8192              1000      0.306       13.39       26.77          0.309       0.306       0.401     
4096       8192            16384             1000      0.539       15.20       30.40          0.542       0.539       0.759     
8192       16384           32768             1000      1.005       16.30       32.61          1.007       1.004       1.383     
16384      32768           65536             1000      1.953       16.78       33.55          10.555      1.939       2.351     
32768      65536           131072            1000      3.813       17.19       34.38          3.849       3.811       5.286     
65536      131072          262144            1000      7.668       17.09       34.19          37.293      7.537       10.648    
131072     262144          524288            1000      15.658      16.74       33.48          25.009      15.193      23.725    
262144     524288          1048576           1000      31.016      16.90       33.81          57.644      30.381      46.935    
524288     1048576         2097152           1000      62.134      16.88       33.75          79.648      60.809      101.456   
1048576    2097152         4194304           1000      123.951     16.92       33.84          182.904     122.193     225.552   

