the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.242       0.02        0.10           0.400       0.140       0.360     
4          24              96                1000      0.276       0.09        0.35           0.440       0.180       0.940     
16         96              384               1000      0.292       0.33        1.32           0.600       0.200       0.640     
64         384             1536              1000      0.439       0.87        3.50           0.680       0.340       1.600     
256        1536            6144              1000      0.912       1.68        6.74           1.220       0.780       1.660     
1024       6144            24576             1000      2.753       2.23        8.93           7.660       2.620       5.060     
4096       24576           98304             1000      10.989      2.24        8.95           16.860      10.800      18.100    
16384      98304           393216            1000      86.901      1.13        4.52           110.820     86.160      125.520   
65536      393216          1572864           1000      458.334     0.86        3.43           491.480     448.480     524.840   
262144     1572864         6291456           1000      4015.310    0.39        1.57           4153.580    3970.900    4040.920  
1048576    6291456         25165824          1000      61748.936   0.10        0.41           61973.120   61663.180   61701.920 

