the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.117       0.01        0.14           0.260       0.040       0.220     
2          2               32                1000      0.129       0.02        0.25           0.460       0.040       0.480     
4          4               64                1000      0.084       0.05        0.77           0.220       0.040       0.420     
8          8               128               1000      0.091       0.09        1.41           5.760       0.060       0.300     
16         16              256               1000      0.088       0.18        2.91           0.220       0.060       0.260     
32         32              512               1000      0.105       0.30        4.86           0.340       0.080       0.140     
64         64              1024              1000      0.145       0.44        7.04           0.200       0.120       0.200     
128        128             2048              1000      0.222       0.58        9.22           6.940       0.180       0.400     
256        256             4096              1000      0.364       0.70        11.26          0.620       0.340       0.820     
512        512             8192              1000      0.687       0.74        11.92          9.420       0.660       1.120     
1024       1024            16384             1000      1.431       0.72        11.45          164.620     1.240       2.920     
2048       2048            32768             1000      2.389       0.86        13.72          2.980       2.360       5.580     
4096       4096            65536             1000      4.629       0.88        14.16          5.280       4.600       8.080     
8192       8192            131072            1000      9.237       0.89        14.19          16.100      9.080       19.840    
16384      16384           262144            1000      18.297      0.90        14.33          56.660      18.040      51.000    
32768      32768           524288            1000      40.147      0.82        13.06          99.060      36.600      96.880    
65536      65536           1048576           1000      179.209     0.37        5.85           198.960     149.620     160.920   
131072     131072          2097152           1000      314.412     0.42        6.67           337.940     299.220     289.640   
262144     262144          4194304           1000      523.116     0.50        8.02           606.640     509.440     512.180   
524288     524288          8388608           1000      944.185     0.56        8.88           1143.280    929.640     1010.460  
1048576    1048576         16777216          1000      2845.582    0.37        5.90           3291.760    2801.520    2839.280  

