the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.128       0.05        0.19           0.460       0.060       0.280     
2          12              48                1000      0.131       0.09        0.37           0.300       0.060       0.240     
4          24              96                1000      0.132       0.18        0.73           0.600       0.100       0.120     
8          48              192               1000      0.156       0.31        1.23           0.440       0.140       0.420     
16         96              384               1000      0.220       0.44        1.74           0.420       0.200       0.340     
32         192             768               1000      0.358       0.54        2.15           0.500       0.340       0.380     
64         384             1536              1000      0.633       0.61        2.43           0.780       0.620       0.820     
128        768             3072              1000      1.179       0.65        2.61           6.960       1.160       1.400     
256        1536            6144              1000      2.275       0.68        2.70           2.400       2.240       2.280     
512        3072            12288             1000      4.526       0.68        2.71           81.640      4.420       4.620     
1024       6144            24576             1000      8.930       0.69        2.75           98.020      8.780       8.800     
2048       12288           49152             1000      17.632      0.70        2.79           62.660      17.500      18.360    
4096       24576           98304             1000      35.002      0.70        2.81           51.080      34.900      35.300    
8192       49152           196608            1000      70.100      0.70        2.80           112.720     69.720      72.840    
16384      98304           393216            1000      140.114     0.70        2.81           210.080     139.340     144.700   
32768      196608          786432            1000      282.800     0.70        2.78           306.980     280.300     289.680   
65536      393216          1572864           1000      579.061     0.68        2.72           624.800     572.920     579.720   
131072     786432          3145728           1000      1161.949    0.68        2.71           1186.620    1157.280    1158.040  
262144     1572864         6291456           1000      2326.990    0.68        2.70           2345.440    2317.060    2329.700  
524288     3145728         12582912          1000      4650.912    0.68        2.71           4668.300    4642.740    4661.980  
1048576    6291456         25165824          1000      10199.031   0.62        2.47           10247.460   10175.160   10207.300 

