the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          8               24                1000      0.189       0.04        0.13           0.360       0.080       0.180     
2          16              48                1000      0.199       0.08        0.24           0.400       0.120       0.380     
4          32              96                1000      0.210       0.15        0.46           7.480       0.120       0.540     
8          64              192               1000      0.208       0.31        0.92           0.560       0.120       1.060     
16         128             384               1000      0.221       0.58        1.74           0.500       0.120       0.800     
32         256             768               1000      0.249       1.03        3.08           0.540       0.180       0.580     
64         512             1536              1000      0.315       1.62        4.87           0.520       0.280       0.740     
128        1024            3072              1000      0.507       2.02        6.06           0.880       0.460       1.420     
256        2048            6144              1000      0.851       2.41        7.22           1.340       0.780       1.520     
512        4096            12288             1000      1.585       2.58        7.75           10.700      1.420       3.360     
1024       8192            24576             1000      4.311       1.90        5.70           14.060      2.840       6.680     
2048       16384           49152             1000      8.747       1.87        5.62           106.640     5.920       15.640    
4096       32768           98304             1000      17.705      1.85        5.55           67.340      15.340      32.600    
8192       65536           196608            1000      38.463      1.70        5.11           119.060     31.900      54.840    
16384      131072          393216            1000      1032.285    0.13        0.38           27566.220   55.040      23869.360 
32768      262144          786432            1000      175.744     1.49        4.47           4935.820    109.780     222.760   
65536      524288          1572864           1000      315.804     1.66        4.98           4754.280    258.300     322.120   
131072     1048576         3145728           1000      714.995     1.47        4.40           15555.740   597.200     790.500   
262144     2097152         6291456           1000      1290.311    1.63        4.88           13608.000   947.100     1538.280  
524288     4194304         12582912          1000      2586.302    1.62        4.87           18146.960   2273.660    2592.340  
1048576    8388608         25165824          1000      9016.587    0.93        2.79           24105.500   4599.700    20750.420 

