the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.125       0.01        0.06           0.260       0.060       0.060     
2          2               16                1000      0.134       0.01        0.12           0.280       0.080       0.300     
4          4               32                1000      0.144       0.03        0.22           6.660       0.080       0.280     
8          8               64                1000      0.115       0.07        0.56           0.240       0.060       0.120     
16         16              128               1000      0.118       0.14        1.09           0.260       0.060       0.200     
32         32              256               1000      0.124       0.26        2.06           0.280       0.060       0.680     
64         64              512               1000      0.242       0.27        2.12           101.660     0.080       0.220     
128        128             1024              1000      0.159       0.81        6.45           0.300       0.100       0.460     
256        256             2048              1000      0.196       1.31        10.44          0.440       0.180       0.400     
512        512             4096              1000      0.291       1.76        14.07          0.880       0.220       0.600     
1024       1024            8192              1000      0.470       2.18        17.43          1.040       0.400       1.080     
2048       2048            16384             1000      0.873       2.35        18.76          8.240       0.820       1.880     
4096       4096            32768             1000      1.767       2.32        18.54          45.740      1.660       4.040     
8192       8192            65536             1000      3.239       2.53        20.23          3.620       3.200       8.020     
16384      16384           131072            1000      6.188       2.65        21.18          28.860      6.080       20.740    
32768      32768           262144            1000      12.316      2.66        21.29          35.860      12.140      44.400    
65536      65536           524288            1000      26.371      2.49        19.88          94.600      24.560      103.460   
131072     131072          1048576           1000      182.036     0.72        5.76           201.980     162.120     168.620   
262144     262144          2097152           1000      394.346     0.66        5.32           445.140     387.180     380.180   
524288     524288          4194304           1000      815.192     0.64        5.15           840.660     805.760     816.500   
1048576    1048576         8388608           1000      1637.652    0.64        5.12           1701.840    1624.360    1647.540  

