the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.088       0.01        0.09           0.360       0.040       0.140     
2          2               16                1000      0.097       0.02        0.16           0.400       0.040       0.260     
4          4               32                1000      0.107       0.04        0.30           0.280       0.040       0.420     
8          8               64                1000      0.111       0.07        0.58           0.260       0.060       0.360     
16         16              128               1000      0.144       0.11        0.89           0.580       0.060       0.400     
32         32              256               1000      0.146       0.22        1.75           0.420       0.080       0.700     
64         64              512               1000      0.185       0.35        2.76           0.360       0.100       0.540     
128        128             1024              1000      0.249       0.51        4.11           0.720       0.160       1.100     
256        256             2048              1000      0.368       0.70        5.56           0.520       0.280       0.740     
512        512             4096              1000      0.648       0.79        6.32           1.420       0.560       1.540     
1024       1024            8192              1000      1.092       0.94        7.50           2.100       1.000       2.600     
2048       2048            16384             1000      2.118       0.97        7.74           8.440       2.000       5.280     
4096       4096            32768             1000      4.253       0.96        7.70           115.200     3.940       10.700    
8192       8192            65536             1000      8.019       1.02        8.17           15.040      7.680       21.640    
16384      16384           131072            1000      14.891      1.10        8.80           161.080     14.540      47.640    
32768      32768           262144            1000      31.098      1.05        8.43           101.660     29.740      104.580   
65536      65536           524288            1000      246.304     0.27        2.13           270.340     228.940     230.860   
131072     131072          1048576           1000      543.276     0.24        1.93           564.660     533.020     536.280   
262144     262144          2097152           1000      1221.843    0.21        1.72           1369.080    1205.720    1195.800  
524288     524288          4194304           1000      2682.039    0.20        1.56           2891.960    2658.860    2670.040  
1048576    1048576         8388608           1000      4851.366    0.22        1.73           5049.740    4804.620    4873.200  

