the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.155       0.01        0.08           0.280       0.060       0.160     
2          2               24                1000      0.169       0.01        0.14           2.280       0.080       0.360     
4          4               48                1000      0.163       0.02        0.29           0.320       0.080       0.500     
8          8               96                1000      0.168       0.05        0.57           0.300       0.100       0.280     
16         16              192               1000      0.169       0.09        1.14           0.380       0.080       0.860     
32         32              384               1000      0.189       0.17        2.03           0.320       0.120       0.540     
64         64              768               1000      0.195       0.33        3.93           0.560       0.140       0.300     
128        128             1536              1000      0.230       0.56        6.68           0.380       0.180       0.600     
256        256             3072              1000      0.335       0.77        9.18           0.560       0.300       0.680     
512        512             6144              1000      0.604       0.85        10.18          0.740       0.560       1.420     
1024       1024            12288             1000      1.095       0.94        11.22          11.380      1.020       2.500     
2048       2048            24576             1000      2.066       0.99        11.90          8.500       1.960       5.300     
4096       4096            49152             1000      4.188       0.98        11.74          10.940      4.000       10.600    
8192       8192            98304             1000      7.570       1.08        12.99          13.680      7.420       19.500    
16384      16384           196608            1000      40.848      0.40        4.81           289.640     39.500      249.000   
32768      32768           393216            1000      121.998     0.27        3.22           16025.100   61.000      75.200    
65536      65536           786432            1000      201.662     0.32        3.90           15804.840   111.000     137.340   
131072     131072          1572864           1000      318.873     0.41        4.93           3812.200    274.440     296.080   
262144     262144          3145728           1000      669.334     0.39        4.70           19744.940   614.520     649.500   
524288     524288          6291456           1000      1443.005    0.36        4.36           16433.460   1115.280    1402.160  
1048576    1048576         12582912          1000      2483.519    0.42        5.07           17177.800   2284.280    2406.660  

