the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.164       0.01        0.05           0.320       0.060       0.680     
2          4               16                1000      0.169       0.02        0.09           0.320       0.100       0.500     
4          8               32                1000      0.169       0.05        0.19           0.460       0.060       0.900     
8          16              64                1000      0.171       0.09        0.37           0.300       0.080       0.640     
16         32              128               1000      0.169       0.19        0.76           0.320       0.060       0.500     
32         64              256               1000      0.171       0.37        1.49           0.440       0.080       0.620     
64         128             512               1000      0.175       0.73        2.93           0.300       0.120       0.460     
128        256             1024              1000      0.193       1.33        5.32           0.360       0.100       0.560     
256        512             2048              1000      0.246       2.08        8.33           6.660       0.160       1.120     
512        1024            4096              1000      0.336       3.05        12.21          0.660       0.260       0.980     
1024       2048            8192              1000      0.536       3.82        15.28          0.940       0.500       2.220     
2048       4096            16384             1000      0.941       4.35        17.41          7.200       0.820       3.720     
4096       8192            32768             1000      1.859       4.41        17.63          3.140       1.720       6.880     
8192       16384           65536             1000      3.435       4.77        19.08          6.200       3.320       13.700    
16384      32768           131072            1000      6.678       4.91        19.63          13.300      6.460       31.340    
32768      65536           262144            1000      19.492      3.36        13.45          34.360      13.640      71.740    
65536      131072          524288            1000      27.789      4.72        18.87          90.380      26.160      109.540   
131072     262144          1048576           1000      165.406     1.58        6.34           211.760     153.620     202.980   
262144     524288          2097152           1000      390.387     1.34        5.37           472.840     381.560     390.400   
524288     1048576         4194304           1000      691.893     1.52        6.06           828.060     675.040     661.200   
1048576    2097152         8388608           1000      1300.268    1.61        6.45           1579.100    1282.060    1311.540  

