the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.110       0.01        0.07           0.260       0.040       0.060     
2          2               16                1000      0.109       0.02        0.15           0.260       0.060       0.120     
4          4               32                1000      0.117       0.03        0.27           0.280       0.040       0.360     
8          8               64                1000      0.129       0.06        0.50           0.180       0.060       0.440     
16         16              128               1000      0.147       0.11        0.87           0.400       0.120       0.460     
32         32              256               1000      0.143       0.22        1.79           0.280       0.080       0.360     
64         64              512               1000      0.146       0.44        3.50           0.460       0.100       0.440     
128        128             1024              1000      0.172       0.75        5.97           0.340       0.140       0.560     
256        256             2048              1000      0.240       1.07        8.54           0.380       0.180       0.980     
512        512             4096              1000      0.350       1.46        11.70          0.500       0.300       0.940     
1024       1024            8192              1000      0.574       1.78        14.27          5.560       0.520       1.560     
2048       2048            16384             1000      0.923       2.22        17.76          2.100       0.880       2.940     
4096       4096            32768             1000      1.857       2.21        17.65          3.200       1.780       5.400     
8192       8192            65536             1000      3.380       2.42        19.39          4.720       3.300       9.020     
16384      16384           131072            1000      6.605       2.48        19.85          10.180      6.440       20.800    
32768      32768           262144            1000      12.951      2.53        20.24          33.260      12.620      38.420    
65536      65536           524288            1000      27.365      2.39        19.16          82.240      25.160      79.780    
131072     131072          1048576           1000      136.404     0.96        7.69           174.360     105.780     104.200   
262144     262144          2097152           1000      299.066     0.88        7.01           319.980     289.780     262.800   
524288     524288          4194304           1000      541.773     0.97        7.74           581.420     532.580     535.400   
1048576    1048576         8388608           1000      1030.549    1.02        8.14           1096.680    1017.180    1022.880  

