the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.097       0.06        0.25           0.280       0.040       0.420     
2          12              48                1000      0.119       0.10        0.40           0.280       0.060       0.260     
4          24              96                1000      0.152       0.16        0.63           0.540       0.080       0.580     
8          48              192               1000      0.118       0.41        1.62           0.400       0.080       0.440     
16         96              384               1000      0.165       0.58        2.33           0.720       0.100       0.900     
32         192             768               1000      0.209       0.92        3.67           0.400       0.160       0.520     
64         384             1536              1000      0.254       1.51        6.05           0.460       0.200       0.720     
128        768             3072              1000      0.423       1.82        7.26           9.200       0.360       0.700     
256        1536            6144              1000      0.669       2.29        9.18           1.120       0.600       1.120     
512        3072            12288             1000      1.173       2.62        10.47          6.800       1.080       1.960     
1024       6144            24576             1000      2.004       3.07        12.26          9.040       1.960       5.160     
2048       12288           49152             1000      3.796       3.24        12.95          3.980       3.780       9.760     
4096       24576           98304             1000      7.452       3.30        13.19          16.040      7.400       20.680    
8192       49152           196608            1000      14.687      3.35        13.39          34.220      14.580      104.360   
16384      98304           393216            1000      30.126      3.26        13.05          58.720      28.960      72.960    
32768      196608          786432            1000      116.453     1.69        6.75           164.460     108.040     135.280   
65536      393216          1572864           1000      300.623     1.31        5.23           327.600     293.080     331.340   
131072     786432          3145728           1000      741.394     1.06        4.24           764.620     727.420     708.180   
262144     1572864         6291456           1000      1631.786    0.96        3.86           1685.360    1613.260    1617.720  
524288     3145728         12582912          1000      3736.315    0.84        3.37           3829.840    3710.160    3738.720  
1048576    6291456         25165824          1000      10235.707   0.61        2.46           36899.880   8725.420    10227.980 

