the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.111       0.01        0.07           0.260       0.060       0.440     
2          2               16                1000      0.113       0.02        0.14           0.260       0.060       0.300     
4          4               32                1000      0.115       0.03        0.28           0.240       0.080       0.440     
8          8               64                1000      0.139       0.06        0.46           0.280       0.100       0.640     
16         16              128               1000      0.135       0.12        0.95           0.180       0.120       0.160     
32         32              256               1000      0.141       0.23        1.81           0.300       0.120       0.420     
64         64              512               1000      0.151       0.42        3.39           0.280       0.080       0.280     
128        128             1024              1000      0.170       0.75        6.04           9.040       0.140       0.380     
256        256             2048              1000      0.246       1.04        8.32           0.380       0.180       0.800     
512        512             4096              1000      0.327       1.57        12.54          0.380       0.280       0.840     
1024       1024            8192              1000      0.553       1.85        14.80          0.840       0.480       1.380     
2048       2048            16384             1000      0.855       2.39        19.16          1.020       0.780       2.080     
4096       4096            32768             1000      1.777       2.31        18.44          21.800      1.680       4.180     
8192       8192            65536             1000      3.339       2.45        19.63          38.840      3.240       9.720     
16384      16384           131072            1000      6.270       2.61        20.91          22.920      6.140       20.180    
32768      32768           262144            1000      12.620      2.60        20.77          36.140      12.100      42.700    
65536      65536           524288            1000      25.633      2.56        20.45          86.040      23.640      88.500    
131072     131072          1048576           1000      174.884     0.75        6.00           224.260     155.540     167.720   
262144     262144          2097152           1000      356.556     0.74        5.88           401.640     348.700     346.720   
524288     524288          4194304           1000      725.216     0.72        5.78           813.480     713.540     716.960   
1048576    1048576         8388608           1000      1360.705    0.77        6.16           1679.760    1345.980    1365.380  

