the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.204       0.00        0.04           0.360       0.160       0.300     
2          2               16                1000      0.217       0.01        0.07           0.360       0.180       0.380     
4          4               32                1000      0.209       0.02        0.15           0.340       0.160       0.540     
8          8               64                1000      0.212       0.04        0.30           0.360       0.160       0.720     
16         16              128               1000      0.202       0.08        0.63           0.420       0.160       0.220     
32         32              256               1000      0.234       0.14        1.09           0.360       0.180       0.740     
64         64              512               1000      0.241       0.27        2.13           0.380       0.200       0.580     
128        128             1024              1000      0.286       0.45        3.58           0.600       0.240       0.500     
256        256             2048              1000      0.383       0.67        5.35           0.560       0.340       0.580     
512        512             4096              1000      0.561       0.91        7.30           0.900       0.520       1.460     
1024       1024            8192              1000      0.989       1.04        8.28           1.420       0.920       1.800     
2048       2048            16384             1000      1.853       1.11        8.84           84.300      1.700       3.820     
4096       4096            32768             1000      3.509       1.17        9.34           104.480     3.340       7.400     
8192       8192            65536             1000      6.821       1.20        9.61           18.120      6.440       15.040    
16384      16384           131072            1000      12.960      1.26        10.11          20.520      12.640      36.100    
32768      32768           262144            1000      24.837      1.32        10.55          50.740      24.480      73.940    
65536      65536           524288            1000      51.435      1.27        10.19          135.720     49.380      160.580   
131072     131072          1048576           1000      296.867     0.44        3.53           362.220     278.720     296.640   
262144     262144          2097152           1000      663.573     0.40        3.16           685.540     653.260     638.300   
524288     524288          4194304           1000      1456.935    0.36        2.88           1491.140    1440.900    1449.420  
1048576    1048576         8388608           1000      3285.484    0.32        2.55           3447.960    3263.860    3276.600  

