the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               8                 1000      0.083       0.07        0.10           9.860       0.040       0.400     
2          12              16                1000      0.073       0.16        0.22           0.100       0.040       0.420     
3          18              24                1000      0.089       0.20        0.27           0.220       0.060       0.380     
4          24              32                1000      0.111       0.22        0.29           0.260       0.080       0.560     
5          30              40                1000      0.093       0.32        0.43           0.240       0.080       0.340     
6          36              48                1000      0.093       0.39        0.51           0.180       0.060       0.200     
7          42              56                1000      0.108       0.39        0.52           0.240       0.060       0.340     
8          48              64                1000      0.118       0.41        0.54           0.220       0.080       0.500     
16         96              128               1000      0.133       0.72        0.96           8.600       0.100       0.540     
32         192             256               1000      0.143       1.35        1.79           0.280       0.120       0.580     
64         384             512               1000      0.161       2.38        3.17           0.300       0.140       1.040     
128        768             1024              1000      0.190       4.05        5.40           0.340       0.160       0.560     
256        1536            2048              1000      0.286       5.37        7.16           0.500       0.260       0.560     
512        3072            4096              1000      0.421       7.30        9.73           9.800       0.360       1.140     
1024       6144            8192              1000      0.757       8.12        10.83          1.040       0.720       2.140     
2048       12288           16384             1000      1.360       9.04        12.05          1.600       1.300       2.460     
4096       24576           32768             1000      2.650       9.27        12.37          8.660       2.600       8.960     
8192       49152           65536             1000      5.371       9.15        12.20          11.540      5.200       8.900     
16384      98304           131072            1000      10.620      9.26        12.34          16.220      10.520      17.420    
32768      196608          262144            1000      21.280      9.24        12.32          35.660      20.920      36.760    
65536      393216          524288            1000      42.651      9.22        12.29          90.780      41.900      135.620   
131072     786432          1048576           1000      89.687      8.77        11.69          265.300     84.380      140.140   
262144     1572864         2097152           1000      549.004     2.86        3.82           688.560     318.380     293.900   
524288     3145728         4194304           1000      624.553     5.04        6.72           646.480     616.060     609.760   
1048576    6291456         8388608           1000      1280.050    4.92        6.55           1778.060    1243.940    1232.400  

