the current thread cpu affinity is 0xffffffffffffffff, policy is 0, priority is 0
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.087       0.02        0.09           0.300       0.040       0.160     
2          4               16                1000      0.096       0.04        0.17           0.180       0.060       0.120     
4          8               32                1000      0.092       0.09        0.35           0.200       0.040       0.140     
8          16              64                1000      0.095       0.17        0.67           0.260       0.040       0.420     
16         32              128               1000      0.113       0.28        1.14           0.240       0.060       0.140     
32         64              256               1000      0.108       0.59        2.36           0.260       0.060       0.320     
64         128             512               1000      0.116       1.11        4.43           0.340       0.080       0.360     
128        256             1024              1000      0.156       1.64        6.55           0.280       0.100       0.540     
256        512             2048              1000      0.208       2.46        9.83           0.340       0.160       0.580     
512        1024            4096              1000      0.337       3.04        12.17          0.480       0.300       0.520     
1024       2048            8192              1000      0.590       3.47        13.89          0.740       0.540       0.740     
2048       4096            16384             1000      1.123       3.65        14.59          1.260       1.080       1.340     
4096       8192            32768             1000      2.134       3.84        15.35          2.340       2.080       2.320     
8192       16384           65536             1000      4.218       3.88        15.54          32.620      4.120       4.440     
16384      32768           131072            1000      8.269       3.96        15.85          33.040      8.200       8.520     
32768      65536           262144            1000      16.450      3.98        15.94          43.640      16.320      31.120    
65536      131072          524288            1000      32.759      4.00        16.00          51.720      32.560      108.480   
131072     262144          1048576           1000      65.477      4.00        16.01          88.740      65.080      247.980   
262144     524288          2097152           1000      132.668     3.95        15.81          165.820     130.460     521.260   
524288     1048576         4194304           1000      268.789     3.90        15.60          296.280     266.500     1120.420  
1048576    2097152         8388608           1000      954.085     2.20        8.79           993.700     942.260     959.720   

