the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.081       0.01        0.10           0.260       0.040       0.060     
2          2               16                1000      0.135       0.01        0.12           0.260       0.060       0.900     
4          4               32                1000      0.170       0.02        0.19           0.340       0.120       0.380     
8          8               64                1000      0.156       0.05        0.41           0.320       0.120       0.260     
16         16              128               1000      0.116       0.14        1.10           0.280       0.100       0.420     
32         32              256               1000      0.130       0.25        1.98           0.280       0.080       0.700     
64         64              512               1000      0.134       0.48        3.83           0.320       0.100       0.420     
128        128             1024              1000      0.145       0.88        7.04           0.300       0.120       0.600     
256        256             2048              1000      0.239       1.07        8.58           0.540       0.200       0.600     
512        512             4096              1000      0.326       1.57        12.57          0.460       0.280       1.120     
1024       1024            8192              1000      0.618       1.66        13.26          5.280       0.560       1.520     
2048       2048            16384             1000      0.994       2.06        16.48          6.980       0.960       2.600     
4096       4096            32768             1000      1.907       2.15        17.19          6.640       1.840       3.820     
8192       8192            65536             1000      3.676       2.23        17.83          4.540       3.580       12.180    
16384      16384           131072            1000      7.120       2.30        18.41          13.140      7.000       21.020    
32768      32768           262144            1000      14.079      2.33        18.62          27.620      13.820      47.800    
65536      65536           524288            1000      30.209      2.17        17.36          101.760     27.660      76.860    
131072     131072          1048576           1000      125.924     1.04        8.33           148.720     109.860     125.340   
262144     262144          2097152           1000      396.586     0.66        5.29           422.120     386.000     405.520   
524288     524288          4194304           1000      841.610     0.62        4.98           893.100     826.180     836.360   
1048576    1048576         8388608           1000      1680.712    0.62        4.99           1737.540    1657.420    1697.020  

