the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.132       0.01        0.06           0.320       0.100       0.340     
2          2               16                1000      0.133       0.01        0.12           0.300       0.120       0.580     
4          4               32                1000      0.133       0.03        0.24           0.280       0.100       0.440     
8          8               64                1000      0.154       0.05        0.41           0.340       0.100       0.680     
16         16              128               1000      0.153       0.10        0.84           0.320       0.100       0.740     
32         32              256               1000      0.159       0.20        1.61           0.300       0.120       0.880     
64         64              512               1000      0.167       0.38        3.07           0.340       0.140       0.720     
128        128             1024              1000      0.177       0.72        5.78           0.480       0.140       0.660     
256        256             2048              1000      0.253       1.01        8.10           0.460       0.200       0.940     
512        512             4096              1000      0.311       1.65        13.18          0.800       0.280       0.860     
1024       1024            8192              1000      0.502       2.04        16.32          0.860       0.460       1.620     
2048       2048            16384             1000      0.853       2.40        19.21          1.420       0.800       1.940     
4096       4096            32768             1000      1.739       2.36        18.84          1.960       1.700       3.740     
8192       8192            65536             1000      3.300       2.48        19.86          3.980       3.240       8.660     
16384      16384           131072            1000      6.296       2.60        20.82          34.380      6.160       18.980    
32768      32768           262144            1000      12.473      2.63        21.02          31.880      12.080      39.120    
65536      65536           524288            1000      27.277      2.40        19.22          81.760      24.500      79.640    
131072     131072          1048576           1000      150.400     0.87        6.97           187.220     129.780     135.680   
262144     262144          2097152           1000      352.231     0.74        5.95           418.860     341.840     337.740   
524288     524288          4194304           1000      724.295     0.72        5.79           950.760     698.140     704.220   
1048576    1048576         8388608           1000      1463.295    0.72        5.73           1823.420    1446.820    1695.900  

