the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          3               4                 1000      0.152       0.02        0.03           0.420       0.060       0.140     
2          6               8                 1000      0.157       0.04        0.05           0.280       0.080       0.460     
4          12              16                1000      0.159       0.08        0.10           0.340       0.060       0.860     
8          24              32                1000      0.165       0.15        0.19           0.360       0.100       0.300     
16         48              64                1000      0.161       0.30        0.40           0.340       0.100       1.040     
32         96              128               1000      0.159       0.61        0.81           0.320       0.080       0.640     
64         192             256               1000      0.163       1.18        1.57           0.320       0.100       0.380     
128        384             512               1000      0.184       2.09        2.79           0.340       0.160       1.140     
256        768             1024              1000      0.222       3.46        4.61           0.420       0.160       0.400     
512        1536            2048              1000      0.342       4.49        5.99           0.440       0.280       0.620     
1024       3072            4096              1000      0.498       6.17        8.22           0.640       0.400       0.860     
2048       6144            8192              1000      0.845       7.27        9.69           1.300       0.740       1.620     
4096       12288           16384             1000      1.414       8.69        11.58          1.920       1.380       2.980     
8192       24576           32768             1000      2.818       8.72        11.63          73.460      2.500       9.940     
16384      49152           65536             1000      5.301       9.27        12.36          14.880      5.160       21.100    
32768      98304           131072            1000      9.946       9.88        13.18          162.360     9.260       37.880    
65536      196608          262144            1000      18.861      10.42       13.90          43.400      18.220      68.000    
131072     393216          524288            1000      38.159      10.30       13.74          131.540     36.100      145.680   
262144     786432          1048576           1000      257.588     3.05        4.07           401.620     238.800     232.080   
524288     1572864         2097152           1000      468.383     3.36        4.48           495.620     457.640     424.840   
1048576    3145728         4194304           1000      879.261     3.58        4.77           933.480     865.720     841.380   

