the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.101       0.01        0.08           0.260       0.040       0.080     
2          2               16                1000      0.106       0.02        0.15           0.240       0.040       0.340     
4          4               32                1000      0.119       0.03        0.27           0.280       0.040       0.420     
8          8               64                1000      0.094       0.09        0.68           0.220       0.040       0.480     
16         16              128               1000      0.100       0.16        1.28           0.260       0.060       0.420     
32         32              256               1000      0.119       0.27        2.16           0.460       0.080       0.460     
64         64              512               1000      0.163       0.39        3.14           0.260       0.100       0.480     
128        128             1024              1000      0.201       0.64        5.10           0.360       0.160       0.540     
256        256             2048              1000      0.317       0.81        6.46           0.700       0.260       0.560     
512        512             4096              1000      0.539       0.95        7.60           1.040       0.480       0.620     
1024       1024            8192              1000      0.916       1.12        8.94           1.460       0.820       1.580     
2048       2048            16384             1000      1.725       1.19        9.50           7.680       1.600       2.180     
4096       4096            32768             1000      3.011       1.36        10.88          4.220       2.960       5.420     
8192       8192            65536             1000      5.823       1.41        11.25          8.700       5.780       9.460     
16384      16384           131072            1000      11.569      1.42        11.33          65.580      11.360      22.760    
32768      32768           262144            1000      22.794      1.44        11.50          40.000      22.560      43.960    
65536      65536           524288            1000      49.456      1.33        10.60          113.780     45.840      88.580    
131072     131072          1048576           1000      238.592     0.55        4.39           269.840     193.040     192.460   
262144     262144          2097152           1000      481.990     0.54        4.35           506.820     470.880     456.440   
524288     524288          4194304           1000      955.472     0.55        4.39           984.820     943.320     939.340   
1048576    1048576         8388608           1000      2098.278    0.50        4.00           2142.700    2078.600    2095.500  

