the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点�?    计算�?         总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.179       0.03        0.13           0.540       0.080       0.160     
2          12              48                1000      0.163       0.07        0.29           0.560       0.080       1.100     
4          24              96                1000      0.171       0.14        0.56           0.620       0.080       0.760     
8          48              192               1000      0.173       0.28        1.11           0.400       0.080       0.540     
16         96              384               1000      0.190       0.51        2.02           0.380       0.120       0.720     
32         192             768               1000      0.205       0.93        3.74           0.380       0.160       0.820     
64         384             1536              1000      0.258       1.49        5.96           0.460       0.200       1.100     
128        768             3072              1000      0.331       2.32        9.29           0.520       0.300       1.280     
256        1536            6144              1000      0.618       2.48        9.94           0.980       0.580       1.760     
512        3072            12288             1000      1.219       2.52        10.08          1.600       1.160       2.320     
1024       6144            24576             1000      2.090       2.94        11.76          10.040      1.960       5.040     
2048       12288           49152             1000      3.867       3.18        12.71          6.340       3.760       10.620    
4096       24576           98304             1000      7.649       3.21        12.85          91.820      7.400       19.480    
8192       49152           196608            1000      121.565     0.40        1.62           15805.820   38.240      14948.040 
16384      98304           393216            1000      90.368      1.09        4.35           11647.000   52.280      258.940   
32768      196608          786432            1000      261.522     0.75        3.01           15399.020   92.180      13805.060 
65536      393216          1572864           1000      1901.130    0.21        0.83           14629.820   240.740     12756.760 
131072     786432          3145728           1000      463.703     1.70        6.78           9246.800    381.900     484.160   
262144     1572864         6291456           1000      1190.348    1.32        5.29           21171.660   997.960     874.480   
524288     3145728         12582912          1000      2818.296    1.12        4.46           28030.000   1667.320    41036.440 
1048576    6291456         25165824          1000      11140.624   0.56        2.26           29224.940   5022.180    19968.600 

