the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.129       0.01        0.12           0.360       0.040       0.480     
2          2               32                1000      0.133       0.02        0.24           0.340       0.080       0.140     
4          4               64                1000      0.112       0.04        0.57           0.300       0.060       0.480     
8          8               128               1000      0.128       0.06        1.00           0.300       0.060       0.360     
16         16              256               1000      0.149       0.11        1.72           16.080      0.080       0.640     
32         32              512               1000      0.143       0.22        3.59           0.440       0.100       0.680     
64         64              1024              1000      0.199       0.32        5.14           0.360       0.160       0.420     
128        128             2048              1000      0.308       0.42        6.65           11.980      0.260       0.480     
256        256             4096              1000      0.516       0.50        7.93           3.460       0.480       0.880     
512        512             8192              1000      0.873       0.59        9.39           7.140       0.820       2.400     
1024       1024            16384             1000      1.806       0.57        9.07           2.080       1.720       5.500     
2048       2048            32768             1000      3.563       0.57        9.20           4.920       3.500       10.160    
4096       4096            65536             1000      7.192       0.57        9.11           41.060      6.920       22.840    
8192       8192            131072            1000      14.391      0.57        9.11           48.640      14.020      50.160    
16384      16384           262144            1000      31.890      0.51        8.22           77.340      30.640      82.980    
32768      32768           524288            1000      185.719     0.18        2.82           231.520     164.040     169.880   
65536      65536           1048576           1000      488.398     0.13        2.15           526.580     477.160     450.640   
131072     131072          2097152           1000      1063.924    0.12        1.97           1097.180    1047.240    1043.340  
262144     262144          4194304           1000      2246.819    0.12        1.87           2293.960    2224.840    2237.560  
524288     524288          8388608           1000      4865.347    0.11        1.72           4928.340    4839.200    4857.720  
1048576    1048576         16777216          1000      9972.268    0.11        1.68           10077.380   9929.460    9894.060  

