the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          8               24                1000      0.179       0.04        0.13           0.400       0.080       1.080     
2          16              48                1000      0.184       0.09        0.26           0.720       0.080       0.700     
4          32              96                1000      0.184       0.17        0.52           0.320       0.100       0.540     
8          64              192               1000      0.188       0.34        1.02           0.840       0.100       0.960     
16         128             384               1000      0.204       0.63        1.88           0.400       0.100       1.180     
32         256             768               1000      0.239       1.07        3.22           0.580       0.180       0.960     
64         512             1536              1000      0.311       1.65        4.94           0.720       0.280       1.200     
128        1024            3072              1000      0.493       2.08        6.23           1.120       0.420       2.260     
256        2048            6144              1000      0.805       2.54        7.63           1.220       0.740       2.740     
512        4096            12288             1000      1.565       2.62        7.85           10.940      1.420       6.560     
1024       8192            24576             1000      4.222       1.94        5.82           6.400       2.860       10.480    
2048       16384           49152             1000      8.644       1.90        5.69           154.520     5.700       17.880    
4096       32768           98304             1000      17.653      1.86        5.57           183.900     14.880      35.420    
8192       65536           196608            1000      37.449      1.75        5.25           101.940     29.040      66.720    
16384      131072          393216            1000      100.890     1.30        3.90           8592.180    57.760      275.380   
32768      262144          786432            1000      474.473     0.55        1.66           15896.840   133.180     8727.880  
65536      524288          1572864           1000      821.140     0.64        1.92           19520.000   261.820     16083.540 
131072     1048576         3145728           1000      710.503     1.48        4.43           22618.120   439.140     750.600   
262144     2097152         6291456           1000      1208.180    1.74        5.21           21090.680   996.740     985.160   
524288     4194304         12582912          1000      5520.427    0.76        2.28           29967.760   1870.420    2132.160  
1048576    8388608         25165824          1000      9244.005    0.91        2.72           28859.900   4279.240    16948.700 

