the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.097       0.06        0.25           0.540       0.040       0.100     
2          12              48                1000      0.110       0.11        0.44           0.240       0.040       0.780     
4          24              96                1000      0.102       0.24        0.94           0.400       0.060       0.120     
8          48              192               1000      0.108       0.45        1.78           0.460       0.060       0.320     
16         96              384               1000      0.114       0.84        3.36           0.420       0.080       0.280     
32         192             768               1000      0.147       1.31        5.23           0.420       0.120       0.460     
64         384             1536              1000      0.218       1.76        7.03           0.640       0.160       0.500     
128        768             3072              1000      0.325       2.36        9.45           0.680       0.280       0.600     
256        1536            6144              1000      0.573       2.68        10.72          0.940       0.540       0.880     
512        3072            12288             1000      1.065       2.89        11.54          7.320       0.960       1.320     
1024       6144            24576             1000      1.910       3.22        12.87          2.120       1.860       2.620     
2048       12288           49152             1000      3.621       3.39        13.57          4.420       3.540       6.020     
4096       24576           98304             1000      7.218       3.40        13.62          55.700      7.060       12.420    
8192       49152           196608            1000      14.066      3.49        13.98          24.940      13.820      24.140    
16384      98304           393216            1000      28.083      3.50        14.00          48.360      27.700      50.420    
32768      196608          786432            1000      61.395      3.20        12.81          132.120     57.840      124.680   
65536      393216          1572864           1000      202.613     1.94        7.76           247.980     193.580     230.080   
131072     786432          3145728           1000      476.783     1.65        6.60           504.260     466.220     455.680   
262144     1572864         6291456           1000      803.267     1.96        7.83           861.600     787.940     783.640   
524288     3145728         12582912          1000      1814.661    1.73        6.93           1922.720    1790.060    1827.980  
1048576    6291456         25165824          1000      4049.667    1.55        6.21           4114.380    4025.860    4042.440  

