the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               20                1000      0.125       0.02        0.16           0.340       0.040       0.080     
2          4               40                1000      0.095       0.04        0.42           0.300       0.040       0.040     
4          8               80                1000      0.112       0.07        0.71           0.460       0.040       0.420     
8          16              160               1000      0.117       0.14        1.36           1.360       0.060       0.360     
16         32              320               1000      0.122       0.26        2.62           0.280       0.060       0.340     
32         64              640               1000      0.152       0.42        4.21           10.200      0.080       0.340     
64         128             1280              1000      0.184       0.70        6.96           0.560       0.140       0.280     
128        256             2560              1000      0.270       0.95        9.49           0.440       0.220       0.360     
256        512             5120              1000      0.415       1.23        12.35          0.600       0.360       0.540     
512        1024            10240             1000      0.773       1.33        13.25          1.120       0.720       1.020     
1024       2048            20480             1000      1.441       1.42        14.21          2.180       1.400       2.260     
2048       4096            40960             1000      2.801       1.46        14.62          59.960      2.700       4.880     
4096       8192            81920             1000      5.338       1.53        15.35          16.100      5.260       13.060    
8192       16384           163840            1000      10.455      1.57        15.67          20.280      10.360      24.620    
16384      32768           327680            1000      20.886      1.57        15.69          46.220      20.660      49.720    
32768      65536           655360            1000      51.940      1.26        12.62          106.720     46.620      98.780    
65536      131072          1310720           1000      154.627     0.85        8.48           175.960     149.340     172.500   
131072     262144          2621440           1000      391.929     0.67        6.69           513.220     385.180     387.880   
262144     524288          5242880           1000      801.103     0.65        6.54           838.560     791.240     808.240   
524288     1048576         10485760          1000      1647.827    0.64        6.36           1796.080    1631.480    1657.160  
1048576    2097152         20971520          1000      4204.558    0.50        4.99           5123.380    4130.320    4070.760  

