the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.120       0.05        0.20           0.700       0.060       0.180     
2          12              48                1000      0.120       0.10        0.40           0.280       0.040       0.100     
4          24              96                1000      0.144       0.17        0.67           0.420       0.060       0.380     
8          48              192               1000      0.157       0.30        1.22           0.440       0.060       0.840     
16         96              384               1000      0.172       0.56        2.24           0.840       0.060       0.640     
32         192             768               1000      0.186       1.03        4.13           0.580       0.160       0.580     
64         384             1536              1000      0.215       1.79        7.15           0.540       0.180       0.480     
128        768             3072              1000      0.316       2.43        9.73           0.880       0.280       0.580     
256        1536            6144              1000      0.379       4.06        16.23          0.560       0.340       0.520     
512        3072            12288             1000      0.699       4.40        17.59          1.860       0.660       1.120     
1024       6144            24576             1000      1.328       4.63        18.50          1.680       1.220       1.920     
2048       12288           49152             1000      2.577       4.77        19.07          81.160      2.240       4.080     
4096       24576           98304             1000      4.646       5.29        21.16          5.600       4.460       9.620     
8192       49152           196608            1000      8.568       5.74        22.95          15.760      8.380       16.480    
16384      98304           393216            1000      16.990      5.79        23.14          59.680      16.640      34.940    
32768      196608          786432            1000      33.637      5.84        23.38          84.600      33.020      62.640    
65536      393216          1572864           1000      96.217      4.09        16.35          143.680     89.560      108.760   
131072     786432          3145728           1000      257.559     3.05        12.21          279.120     251.440     257.560   
262144     1572864         6291456           1000      504.268     3.12        12.48          543.280     497.020     494.280   
524288     3145728         12582912          1000      1119.849    2.81        11.24          1160.420    1104.880    1135.500  
1048576    6291456         25165824          1000      2611.766    2.41        9.64           3255.900    2576.760    3053.520  

