the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.117       0.01        0.07           0.480       0.100       0.420     
2          2               16                1000      0.107       0.02        0.15           0.240       0.040       0.220     
4          4               32                1000      0.104       0.04        0.31           0.260       0.040       0.340     
8          8               64                1000      0.131       0.06        0.49           0.520       0.100       0.520     
16         16              128               1000      0.136       0.12        0.94           0.280       0.060       0.440     
32         32              256               1000      0.136       0.23        1.88           0.300       0.100       0.340     
64         64              512               1000      0.147       0.44        3.48           0.440       0.100       0.800     
128        128             1024              1000      0.194       0.66        5.28           9.440       0.140       0.700     
256        256             2048              1000      0.207       1.24        9.90           0.620       0.160       0.660     
512        512             4096              1000      0.260       1.97        15.76          0.440       0.240       1.020     
1024       1024            8192              1000      0.472       2.17        17.36          0.660       0.440       1.220     
2048       2048            16384             1000      0.848       2.42        19.32          1.060       0.800       2.200     
4096       4096            32768             1000      1.788       2.29        18.33          2.080       1.700       5.320     
8192       8192            65536             1000      3.377       2.43        19.41          4.120       3.320       8.140     
16384      16384           131072            1000      6.733       2.43        19.47          33.420      6.500       13.660    
32768      32768           262144            1000      13.499      2.43        19.42          49.540      12.760      32.200    
65536      65536           524288            1000      26.374      2.48        19.88          55.300      25.560      67.600    
131072     131072          1048576           1000      107.013     1.22        9.80           131.040     99.620      133.200   
262144     262144          2097152           1000      256.209     1.02        8.19           286.620     250.280     253.580   
524288     524288          4194304           1000      467.547     1.12        8.97           495.260     462.040     482.500   
1048576    1048576         8388608           1000      1130.294    0.93        7.42           1215.320    1106.360    1148.080  

