the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.118       0.01        0.07           0.300       0.040       0.600     
2          2               16                1000      0.120       0.02        0.13           0.480       0.040       0.320     
4          4               32                1000      0.124       0.03        0.26           0.460       0.040       0.360     
8          8               64                1000      0.138       0.06        0.46           2.580       0.040       0.320     
16         16              128               1000      0.153       0.10        0.83           0.380       0.060       0.640     
32         32              256               1000      0.147       0.22        1.74           0.380       0.060       0.480     
64         64              512               1000      0.163       0.39        3.15           0.580       0.100       0.500     
128        128             1024              1000      0.192       0.67        5.33           0.500       0.140       0.560     
256        256             2048              1000      0.226       1.13        9.07           0.520       0.180       0.760     
512        512             4096              1000      0.294       1.74        13.95          0.640       0.240       0.840     
1024       1024            8192              1000      0.506       2.02        16.18          0.940       0.460       1.140     
2048       2048            16384             1000      1.197       1.71        13.68          2.940       0.940       1.880     
4096       4096            32768             1000      2.100       1.95        15.60          11.420      1.820       3.180     
8192       8192            65536             1000      3.694       2.22        17.74          11.620      3.620       7.220     
16384      16384           131072            1000      6.724       2.44        19.49          37.720      6.600       15.240    
32768      32768           262144            1000      14.322      2.29        18.30          52.380      13.800      34.340    
65536      65536           524288            1000      29.493      2.22        17.78          64.700      27.440      63.140    
131072     131072          1048576           1000      150.314     0.87        6.98           177.680     137.500     144.600   
262144     262144          2097152           1000      338.634     0.77        6.19           395.560     326.580     298.540   
524288     524288          4194304           1000      599.629     0.87        6.99           680.120     586.840     571.980   
1048576    1048576         8388608           1000      1106.697    0.95        7.58           1321.860    1086.920    1106.580  

