the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.181       0.01        0.04           0.680       0.140       0.360     
2          2               16                1000      0.199       0.01        0.08           0.600       0.160       1.000     
4          4               32                1000      0.178       0.02        0.18           0.440       0.140       1.080     
8          8               64                1000      0.187       0.04        0.34           0.320       0.140       1.280     
16         16              128               1000      0.200       0.08        0.64           0.600       0.160       0.800     
32         32              256               1000      0.219       0.15        1.17           0.380       0.180       0.640     
64         64              512               1000      0.236       0.27        2.17           0.440       0.200       0.760     
128        128             1024              1000      0.268       0.48        3.82           0.440       0.240       0.960     
256        256             2048              1000      0.557       0.46        3.67           1.020       0.360       1.120     
512        512             4096              1000      0.568       0.90        7.21           0.720       0.540       1.200     
1024       1024            8192              1000      1.006       1.02        8.14           9.800       0.920       2.220     
2048       2048            16384             1000      1.778       1.15        9.21           2.200       1.720       4.260     
4096       4096            32768             1000      3.402       1.20        9.63           9.420       3.320       7.560     
8192       8192            65536             1000      6.543       1.25        10.02          8.100       6.420       15.960    
16384      16384           131072            1000      13.068      1.25        10.03          49.400      12.740      30.580    
32768      32768           262144            1000      25.257      1.30        10.38          50.100      24.720      62.820    
65536      65536           524288            1000      52.365      1.25        10.01          122.000     49.840      123.020   
131072     131072          1048576           1000      282.542     0.46        3.71           310.900     261.160     260.680   
262144     262144          2097152           1000      616.182     0.43        3.40           714.500     602.380     559.080   
524288     524288          4194304           1000      1246.273    0.42        3.37           1446.800    1232.020    1207.680  
1048576    1048576         8388608           1000      2698.711    0.39        3.11           2889.420    2673.280    2705.960  

