the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.120       0.01        0.10           0.320       0.040       0.280     
2          2               24                1000      0.120       0.02        0.20           0.280       0.060       0.740     
4          4               48                1000      0.112       0.04        0.43           0.720       0.060       0.200     
8          8               96                1000      0.120       0.07        0.80           0.300       0.080       0.500     
16         16              192               1000      0.139       0.12        1.39           0.440       0.080       0.680     
32         32              384               1000      0.157       0.20        2.45           0.460       0.140       0.600     
64         64              768               1000      0.242       0.26        3.17           0.460       0.200       0.680     
128        128             1536              1000      0.399       0.32        3.84           8.880       0.360       0.640     
256        256             3072              1000      0.906       0.28        3.39           178.160     0.700       1.140     
512        512             6144              1000      1.385       0.37        4.44           1.660       1.360       1.860     
1024       1024            12288             1000      2.682       0.38        4.58           3.020       2.660       3.140     
2048       2048            24576             1000      5.465       0.37        4.50           215.080     5.220       5.760     
4096       4096            49152             1000      10.513      0.39        4.68           76.960      10.360      13.160    
8192       8192            98304             1000      20.709      0.40        4.75           73.860      20.580      22.080    
16384      16384           196608            1000      41.245      0.40        4.77           92.780      41.040      43.060    
32768      32768           393216            1000      82.353      0.40        4.77           107.360     82.000      110.220   
65536      65536           786432            1000      181.852     0.36        4.32           244.640     175.780     194.720   
131072     131072          1572864           1000      413.453     0.32        3.80           458.780     403.600     384.420   
262144     262144          3145728           1000      840.054     0.31        3.74           864.720     825.040     793.100   
524288     524288          6291456           1000      1720.734    0.30        3.66           1766.320    1694.160    1739.240  
1048576    1048576         12582912          1000      3892.064    0.27        3.23           3953.680    3844.960    3907.640  

