the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.120       0.05        0.20           0.280       0.040       0.100     
2          12              48                1000      0.140       0.09        0.34           5.920       0.060       0.500     
4          24              96                1000      0.149       0.16        0.65           0.460       0.060       0.420     
8          48              192               1000      0.144       0.33        1.34           0.320       0.060       0.460     
16         96              384               1000      0.155       0.62        2.48           0.580       0.060       0.460     
32         192             768               1000      0.156       1.23        4.93           0.320       0.100       0.300     
64         384             1536              1000      0.191       2.02        8.06           0.340       0.160       0.600     
128        768             3072              1000      0.286       2.69        10.75          19.620      0.240       0.520     
256        1536            6144              1000      0.426       3.61        14.43          0.560       0.400       0.600     
512        3072            12288             1000      0.642       4.79        19.15          0.800       0.620       0.740     
1024       6144            24576             1000      1.225       5.02        20.06          1.620       1.200       1.600     
2048       12288           49152             1000      2.284       5.38        21.52          8.360       2.240       2.820     
4096       24576           98304             1000      4.408       5.58        22.30          4.900       4.360       5.540     
8192       49152           196608            1000      8.758       5.61        22.45          52.420      8.580       15.360    
16384      98304           393216            1000      17.190      5.72        22.87          37.580      17.040      23.820    
32768      196608          786432            1000      34.321      5.73        22.91          58.740      33.920      61.080    
65536      393216          1572864           1000      108.216     3.63        14.53          145.560     89.620      87.620    
131072     786432          3145728           1000      143.041     5.50        21.99          162.040     140.340     143.040   
262144     1572864         6291456           1000      343.436     4.58        18.32          515.600     326.820     316.280   
524288     3145728         12582912          1000      682.834     4.61        18.43          1044.520    626.340     619.920   
1048576    6291456         25165824          1000      1210.203    5.20        20.79          1330.100    1197.220    2051.520  

