the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.127       0.01        0.06           0.300       0.060       0.600     
2          2               16                1000      0.134       0.01        0.12           0.320       0.080       1.260     
4          4               32                1000      0.137       0.03        0.23           0.300       0.080       1.100     
8          8               64                1000      0.147       0.05        0.44           0.340       0.100       0.520     
16         16              128               1000      0.155       0.10        0.82           0.380       0.120       0.680     
32         32              256               1000      0.167       0.19        1.53           0.320       0.120       1.280     
64         64              512               1000      0.194       0.33        2.63           0.380       0.160       1.040     
128        128             1024              1000      0.409       0.31        2.50           0.680       0.240       1.600     
256        256             2048              1000      0.754       0.34        2.72           0.900       0.600       1.520     
512        512             4096              1000      0.942       0.54        4.35           1.120       0.800       1.740     
1024       1024            8192              1000      0.991       1.03        8.27           1.440       0.940       2.660     
2048       2048            16384             1000      2.216       0.92        7.39           2.600       1.860       4.760     
4096       4096            32768             1000      3.985       1.03        8.22           9.820       3.840       10.760    
8192       8192            65536             1000      7.500       1.09        8.74           35.120      7.200       24.140    
16384      16384           131072            1000      14.277      1.15        9.18           35.140      13.840      40.240    
32768      32768           262144            1000      36.237      0.90        7.23           96.140      33.400      89.380    
65536      65536           524288            1000      224.749     0.29        2.33           261.860     191.960     195.640   
131072     131072          1048576           1000      551.059     0.24        1.90           575.440     538.940     519.020   
262144     262144          2097152           1000      1169.744    0.22        1.79           1427.940    1149.280    1135.800  
524288     524288          4194304           1000      1909.810    0.27        2.20           2243.320    1888.740    1921.260  
1048576    1048576         8388608           1000      4114.467    0.25        2.04           4375.920    4090.560    4122.260  

