the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.118       0.01        0.10           0.460       0.040       0.240     
2          2               24                1000      0.116       0.02        0.21           0.260       0.040       0.140     
4          4               48                1000      0.132       0.03        0.36           0.520       0.040       0.400     
8          8               96                1000      0.131       0.06        0.73           0.380       0.060       0.420     
16         16              192               1000      0.131       0.12        1.46           0.180       0.060       0.240     
32         32              384               1000      0.121       0.27        3.18           0.220       0.060       0.360     
64         64              768               1000      0.127       0.50        6.04           0.300       0.100       0.400     
128        128             1536              1000      0.151       0.85        10.19          0.280       0.120       0.380     
256        256             3072              1000      0.199       1.29        15.48          0.280       0.160       0.760     
512        512             6144              1000      0.358       1.43        17.15          0.440       0.340       1.240     
1024       1024            12288             1000      0.595       1.72        20.64          0.820       0.560       1.900     
2048       2048            24576             1000      1.308       1.57        18.79          1.560       1.240       5.280     
4096       4096            49152             1000      2.812       1.46        17.48          125.340     2.620       6.960     
8192       8192            98304             1000      5.182       1.58        18.97          15.360      5.080       12.320    
16384      16384           196608            1000      9.898       1.66        19.86          19.020      9.740       29.700    
32768      32768           393216            1000      20.824      1.57        18.88          57.920      19.780      61.240    
65536      65536           786432            1000      56.476      1.16        13.93          127.720     51.080      128.200   
131072     131072          1572864           1000      246.162     0.53        6.39           271.500     236.800     239.620   
262144     262144          3145728           1000      485.254     0.54        6.48           537.480     473.640     434.380   
524288     524288          6291456           1000      900.142     0.58        6.99           951.100     882.640     903.100   
1048576    1048576         12582912          1000      1749.589    0.60        7.19           1823.660    1718.920    1740.960  

