the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.117       0.01        0.10           0.280       0.040       0.100     
2          2               24                1000      0.137       0.01        0.18           0.420       0.040       0.300     
4          4               48                1000      0.150       0.03        0.32           0.460       0.060       0.540     
8          8               96                1000      0.138       0.06        0.69           0.340       0.060       0.320     
16         16              192               1000      0.177       0.09        1.09           0.700       0.080       0.820     
32         32              384               1000      0.188       0.17        2.04           0.660       0.120       0.800     
64         64              768               1000      0.231       0.28        3.32           0.520       0.160       1.020     
128        128             1536              1000      0.355       0.36        4.33           0.600       0.260       0.340     
256        256             3072              1000      0.525       0.49        5.85           0.920       0.440       1.160     
512        512             6144              1000      1.106       0.46        5.55           188.100     0.800       1.520     
1024       1024            12288             1000      1.534       0.67        8.01           2.720       1.440       3.800     
2048       2048            24576             1000      2.936       0.70        8.37           3.740       2.840       10.640    
4096       4096            49152             1000      5.725       0.72        8.59           9.240       5.500       16.020    
8192       8192            98304             1000      11.344      0.72        8.67           19.800      10.800      32.960    
16384      16384           196608            1000      25.650      0.64        7.67           65.660      24.580      69.860    
32768      32768           393216            1000      112.792     0.29        3.49           186.460     105.120     155.500   
65536      65536           786432            1000      303.404     0.22        2.59           379.700     294.040     304.500   
131072     131072          1572864           1000      800.113     0.16        1.97           1017.840    768.720     802.360   
262144     262144          3145728           1000      1723.794    0.15        1.82           2344.460    1648.540    1675.960  
524288     524288          6291456           1000      3661.257    0.14        1.72           3926.740    3446.940    3748.400  
1048576    1048576         12582912          1000      8225.452    0.13        1.53           8568.720    8023.400    7975.540  

