the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.096       0.02        0.08           0.240       0.040       0.060     
2          4               16                1000      0.101       0.04        0.16           0.260       0.040       0.060     
4          8               32                1000      0.114       0.07        0.28           0.300       0.060       0.220     
8          16              64                1000      0.104       0.15        0.62           0.280       0.060       0.520     
16         32              128               1000      0.105       0.30        1.21           0.340       0.060       0.500     
32         64              256               1000      0.109       0.59        2.35           0.320       0.080       0.340     
64         128             512               1000      0.141       0.91        3.63           0.320       0.100       0.540     
128        256             1024              1000      0.153       1.67        6.69           0.440       0.120       0.320     
256        512             2048              1000      0.233       2.20        8.80           0.600       0.200       0.620     
512        1024            4096              1000      0.392       2.61        10.44          0.600       0.360       0.660     
1024       2048            8192              1000      0.624       3.28        13.13          1.060       0.600       1.160     
2048       4096            16384             1000      1.120       3.66        14.63          1.300       1.080       2.500     
4096       8192            32768             1000      2.152       3.81        15.23          2.320       2.120       3.340     
8192       16384           65536             1000      4.151       3.95        15.79          10.860      4.100       6.560     
16384      32768           131072            1000      8.154       4.02        16.07          32.720      8.060       13.100    
32768      65536           262144            1000      16.043      4.09        16.34          21.260      16.000      25.520    
65536      131072          524288            1000      31.956      4.10        16.41          49.000      31.880      49.100    
131072     262144          1048576           1000      64.101      4.09        16.36          98.120      63.620      103.520   
262144     524288          2097152           1000      256.126     2.05        8.19           285.240     231.180     294.940   
524288     1048576         4194304           1000      682.686     1.54        6.14           742.560     669.680     695.900   
1048576    2097152         8388608           1000      1572.182    1.33        5.34           1604.020    1555.120    1564.480  

