the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.168       0.01        0.05           0.220       0.080       0.120     
2          2               16                1000      0.167       0.01        0.10           0.520       0.100       0.880     
4          4               32                1000      0.169       0.02        0.19           0.440       0.100       0.820     
8          8               64                1000      0.182       0.04        0.35           0.660       0.120       1.200     
16         16              128               1000      0.183       0.09        0.70           0.340       0.100       0.200     
32         32              256               1000      0.176       0.18        1.46           0.460       0.120       0.840     
64         64              512               1000      0.193       0.33        2.65           7.340       0.120       0.720     
128        128             1024              1000      0.204       0.63        5.01           0.320       0.120       1.260     
256        256             2048              1000      0.271       0.94        7.55           0.440       0.200       0.800     
512        512             4096              1000      0.343       1.49        11.94          0.560       0.280       1.040     
1024       1024            8192              1000      0.534       1.92        15.34          0.840       0.460       1.820     
2048       2048            16384             1000      0.922       2.22        17.77          1.620       0.860       2.700     
4096       4096            32768             1000      1.780       2.30        18.41          9.600       1.660       4.960     
8192       8192            65536             1000      3.340       2.45        19.62          4.620       3.200       10.900    
16384      16384           131072            1000      7.107       2.31        18.44          825.720     6.140       21.300    
32768      32768           262144            1000      12.484      2.62        21.00          37.540      12.120      41.620    
65536      65536           524288            1000      25.140      2.61        20.85          79.740      23.700      97.420    
131072     131072          1048576           1000      142.821     0.92        7.34           165.800     107.760     120.300   
262144     262144          2097152           1000      311.379     0.84        6.74           346.300     302.880     288.260   
524288     524288          4194304           1000      625.341     0.84        6.71           697.460     612.040     625.080   
1048576    1048576         8388608           1000      1231.433    0.85        6.81           1343.440    1217.160    1444.200  

