the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          3               8                 1000      0.136       0.02        0.06           0.460       0.060       0.780     
2          6               16                1000      0.143       0.04        0.11           0.320       0.120       0.200     
4          12              32                1000      0.142       0.08        0.23           0.300       0.120       0.480     
8          24              64                1000      0.149       0.16        0.43           0.320       0.100       0.380     
16         48              128               1000      0.165       0.29        0.78           0.380       0.100       0.660     
32         96              256               1000      0.205       0.47        1.25           6.860       0.140       0.960     
64         192             512               1000      0.265       0.72        1.93           0.800       0.200       0.960     
128        384             1024              1000      0.392       0.98        2.61           0.760       0.340       0.740     
256        768             2048              1000      0.662       1.16        3.09           0.840       0.640       1.020     
512        1536            4096              1000      1.173       1.31        3.49           1.580       1.120       1.620     
1024       3072            8192              1000      2.195       1.40        3.73           2.880       2.120       2.720     
2048       6144            16384             1000      4.238       1.45        3.87           4.900       4.220       4.500     
4096       12288           32768             1000      8.373       1.47        3.91           10.020      8.340       9.080     
8192       24576           65536             1000      16.579      1.48        3.95           24.820      16.540      17.900    
16384      49152           131072            1000      33.239      1.48        3.94           108.460     32.900      35.560    
32768      98304           262144            1000      66.247      1.48        3.96           194.620     65.620      90.620    
65536      196608          524288            1000      132.569     1.48        3.95           205.200     131.220     226.800   
131072     393216          1048576           1000      408.805     0.96        2.56           483.500     388.500     294.240   
262144     786432          2097152           1000      575.361     1.37        3.64           595.240     568.160     559.180   
524288     1572864         4194304           1000      1123.140    1.40        3.73           1199.680    1113.100    1119.620  
1048576    3145728         8388608           1000      2222.252    1.42        3.77           2278.220    2205.300    2206.580  

