the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.090       0.01        0.18           0.128       0.088       0.364     
2          2               32                1000      0.092       0.02        0.35           0.291       0.092       0.211     
4          4               64                1000      0.091       0.04        0.70           0.304       0.089       0.233     
8          8               128               1000      0.094       0.09        1.36           0.302       0.091       0.185     
16         16              256               1000      0.096       0.17        2.67           0.318       0.095       0.228     
32         32              512               1000      0.107       0.30        4.80           0.317       0.101       0.194     
64         64              1024              1000      0.129       0.50        7.95           0.182       0.119       0.236     
128        128             2048              1000      0.156       0.82        13.17          0.202       0.149       0.242     
256        256             4096              1000      0.230       1.11        17.84          0.534       0.216       0.323     
512        512             8192              1000      0.360       1.42        22.74          0.673       0.350       0.519     
1024       1024            16384             1000      0.718       1.43        22.81          0.909       0.679       0.808     
2048       2048            32768             1000      1.626       1.26        20.15          1.797       1.450       2.255     
4096       4096            65536             1000      3.144       1.30        20.84          3.448       2.933       4.745     
8192       8192            131072            1000      6.995       1.17        18.74          12.247      6.659       8.707     
16384      16384           262144            1000      16.380      1.00        16.00          21.085      15.995      18.209    
32768      32768           524288            1000      34.690      0.94        15.11          36.210      34.057      38.152    
65536      65536           1048576           1000      71.548      0.92        14.66          76.994      70.726      87.715    
131072     131072          2097152           1000      176.406     0.74        11.89          186.799     149.127     195.369   
262144     262144          4194304           1000      453.223     0.58        9.25           495.676     422.149     595.160   
524288     524288          8388608           1000      983.237     0.53        8.53           1000.604    956.494     990.395   
1048576    1048576         16777216          1000      1984.819    0.53        8.45           2210.373    1935.720    1963.342  

