the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.074       0.03        0.11           0.074       0.073       0.107     
2          4               16                1000      0.076       0.05        0.21           0.082       0.074       0.100     
4          8               32                1000      0.079       0.10        0.41           0.298       0.076       0.116     
8          16              64                1000      0.079       0.20        0.81           0.091       0.079       0.246     
16         32              128               1000      0.087       0.37        1.47           0.302       0.085       0.181     
32         64              256               1000      0.105       0.61        2.43           0.424       0.104       0.161     
64         128             512               1000      0.147       0.87        3.49           0.371       0.144       0.195     
128        256             1024              1000      0.227       1.13        4.51           0.260       0.222       0.273     
256        512             2048              1000      0.399       1.28        5.14           0.652       0.390       0.446     
512        1024            4096              1000      0.722       1.42        5.67           0.759       0.711       0.839     
1024       2048            8192              1000      1.392       1.47        5.88           6.591       1.362       1.385     
2048       4096            16384             1000      2.719       1.51        6.03           9.586       2.670       2.744     
4096       8192            32768             1000      5.370       1.53        6.10           10.033      5.284       5.414     
8192       16384           65536             1000      10.670      1.54        6.14           16.671      10.586      10.751    
16384      32768           131072            1000      21.343      1.54        6.14           21.492      21.193      21.563    
32768      65536           262144            1000      42.498      1.54        6.17           47.687      42.247      42.724    
65536      131072          524288            1000      84.840      1.54        6.18           92.617      84.502      84.981    
131072     262144          1048576           1000      169.521     1.55        6.19           176.532     169.079     169.570   
262144     524288          2097152           1000      338.863     1.55        6.19           344.785     338.222     339.260   
524288     1048576         4194304           1000      677.823     1.55        6.19           685.404     676.725     678.176   
1048576    2097152         8388608           1000      1357.174    1.55        6.18           1365.566    1354.957    1364.576  

