the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.073       0.01        0.22           0.085       0.072       0.108     
2          2               32                1000      0.073       0.03        0.44           0.086       0.073       0.106     
4          4               64                1000      0.073       0.05        0.87           0.298       0.073       0.091     
8          8               128               1000      0.074       0.11        1.73           0.104       0.073       0.128     
16         16              256               1000      0.075       0.21        3.40           0.298       0.075       0.104     
32         32              512               1000      0.076       0.42        6.73           0.109       0.076       0.215     
64         64              1024              1000      0.083       0.77        12.36          0.295       0.082       0.112     
128        128             2048              1000      0.100       1.28        20.55          0.135       0.097       0.129     
256        256             4096              1000      0.131       1.95        31.20          0.337       0.128       0.223     
512        512             8192              1000      0.189       2.70        43.23          0.202       0.188       0.311     
1024       1024            16384             1000      0.307       3.33        53.34          0.501       0.303       0.318     
2048       2048            32768             1000      0.538       3.81        60.91          0.745       0.537       0.976     
4096       4096            65536             1000      1.005       4.07        65.19          1.257       1.002       1.169     
8192       8192            131072            1000      1.938       4.23        67.63          2.148       1.935       2.390     
16384      16384           262144            1000      3.824       4.28        68.55          8.720       3.800       4.178     
32768      32768           524288            1000      7.753       4.23        67.62          8.115       7.555       7.806     
65536      65536           1048576           1000      15.498      4.23        67.66          21.432      15.063      16.938    
131072     131072          2097152           1000      30.651      4.28        68.42          35.409      30.039      37.222    
262144     262144          4194304           1000      60.465      4.34        69.37          67.184      59.853      72.771    
524288     524288          8388608           1000      132.274     3.96        63.42          162.156     125.809     166.102   
1048576    1048576         16777216          1000      358.852     2.92        46.75          366.227     341.617     359.629   

